id_gene,id_string,up,down,gene,biotype,description
ENSG00000005194,9606.ENSP00000377914,True,False,CIAPIN1,protein_coding,cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]
ENSG00000005206,9606.ENSP00000478298,True,False,SPPL2B,protein_coding,signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]
ENSG00000005448,9606.ENSP00000006526,True,False,WDR54,protein_coding,WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]
ENSG00000005469,9606.ENSP00000413575,False,True,CROT,protein_coding,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]
ENSG00000006047,9606.ENSP00000007699,True,False,YBX2,protein_coding,Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000006451,9606.ENSP00000005257,False,True,RALA,protein_coding,RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]
ENSG00000006459,9606.ENSP00000380692,False,True,KDM7A,protein_coding,lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]
ENSG00000006576,9606.ENSP00000403042,False,True,PHTF2,protein_coding,putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]
ENSG00000006712,9606.ENSP00000221265,True,True,PAF1,protein_coding,"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]"
ENSG00000006744,9606.ENSP00000337445,False,True,ELAC2,protein_coding,elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]
ENSG00000006788,9606.ENSP00000404570,False,True,MYH13,protein_coding,myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571]
ENSG00000007392,9606.ENSP00000293872,True,False,LUC7L,protein_coding,LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]
ENSG00000007516,9606.ENSP00000324510,False,True,BAIAP3,protein_coding,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
ENSG00000007520,9606.ENSP00000007390,True,False,TSR3,protein_coding,TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]
ENSG00000007541,9606.ENSP00000026218,True,False,PIGQ,protein_coding,phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]
ENSG00000007944,9606.ENSP00000349298,False,True,MYLIP,protein_coding,myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]
ENSG00000008226,9606.ENSP00000308597,False,True,DLEC1,protein_coding,DLEC1 cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:2899]
ENSG00000008282,9606.ENSP00000011473,True,False,SYPL1,protein_coding,synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]
ENSG00000008294,9606.ENSP00000262013,True,True,SPAG9,protein_coding,sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]
ENSG00000008324,9606.ENSP00000401115,False,True,SS18L2,protein_coding,SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]
ENSG00000008838,9606.ENSP00000377686,False,True,MED24,protein_coding,mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]
ENSG00000009335,9606.ENSP00000309198,False,True,UBE3C,protein_coding,ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]
ENSG00000009724,9606.ENSP00000383690,True,True,MASP2,protein_coding,mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]
ENSG00000010072,9606.ENSP00000295050,True,False,SPRTN,protein_coding,SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]
ENSG00000010244,9606.ENSP00000378165,False,True,ZNF207,protein_coding,zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]
ENSG00000010319,9606.ENSP00000231721,True,True,SEMA3G,protein_coding,semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]
ENSG00000010322,9606.ENSP00000339958,True,False,NISCH,protein_coding,nischarin [Source:HGNC Symbol;Acc:HGNC:18006]
ENSG00000010626,9606.ENSP00000390932,True,True,LRRC23,protein_coding,leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]
ENSG00000011198,9606.ENSP00000390849,False,True,ABHD5,protein_coding,abhydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21396]
ENSG00000011258,9606.ENSP00000468304,True,True,MBTD1,protein_coding,mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]
ENSG00000011426,9606.ENSP00000265748,False,True,ANLN,protein_coding,anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]
ENSG00000011485,9606.ENSP00000012443,False,True,PPP5C,protein_coding,protein phosphatase 5 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]
ENSG00000011590,9606.ENSP00000376035,True,True,ZBTB32,protein_coding,zinc finger and BTB domain containing 32 [Source:HGNC Symbol;Acc:HGNC:16763]
ENSG00000012048,9606.ENSP00000418960,False,True,BRCA1,protein_coding,BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]
ENSG00000012232,9606.ENSP00000220562,False,True,EXTL3,protein_coding,exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]
ENSG00000012983,9606.ENSP00000013125,False,True,MAP4K5,protein_coding,mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]
ENSG00000013573,9606.ENSP00000440402,False,True,DDX11,protein_coding,DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]
ENSG00000013810,9606.ENSP00000326550,False,True,TACC3,protein_coding,transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]
ENSG00000014138,9606.ENSP00000265465,False,True,POLA2,protein_coding,"DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]"
ENSG00000014164,9606.ENSP00000262577,True,True,ZC3H3,protein_coding,zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]
ENSG00000014919,9606.ENSP00000016171,False,True,COX15,protein_coding,cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]
ENSG00000015413,9606.ENSP00000376807,False,True,DPEP1,protein_coding,dipeptidase 1 [Source:HGNC Symbol;Acc:HGNC:3002]
ENSG00000015479,9606.ENSP00000354346,False,True,MATR3,protein_coding,matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]
ENSG00000015676,9606.ENSP00000347626,True,False,NUDCD3,protein_coding,NudC domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22208]
ENSG00000016864,9606.ENSP00000266014,True,True,GLT8D1,protein_coding,glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24870]
ENSG00000017427,9606.ENSP00000302665,True,True,IGF1,protein_coding,insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]
ENSG00000018699,9606.ENSP00000313953,True,False,TTC27,protein_coding,tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]
ENSG00000019505,9606.ENSP00000020926,False,True,SYT13,protein_coding,synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]
ENSG00000020256,9606.ENSP00000216923,True,False,ZFP64,protein_coding,ZFP64 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:15940]
ENSG00000020922,9606.ENSP00000325863,False,True,MRE11,protein_coding,"MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]"
ENSG00000021461,9606.ENSP00000222382,True,True,CYP3A43,protein_coding,cytochrome P450 family 3 subfamily A member 43 [Source:HGNC Symbol;Acc:HGNC:17450]
ENSG00000022840,9606.ENSP00000322242,False,True,RNF10,protein_coding,ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]
ENSG00000022976,9606.ENSP00000399863,False,True,ZNF839,protein_coding,zinc finger protein 839 [Source:HGNC Symbol;Acc:HGNC:20345]
ENSG00000023287,9606.ENSP00000025008,False,True,RB1CC1,protein_coding,RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]
ENSG00000023318,9606.ENSP00000262455,False,True,ERP44,protein_coding,endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]
ENSG00000023516,9606.ENSP00000025301,False,True,AKAP11,protein_coding,A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]
ENSG00000023902,9606.ENSP00000358120,True,False,PLEKHO1,protein_coding,pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]
ENSG00000025423,9606.ENSP00000451406,False,True,HSD17B6,protein_coding,hydroxysteroid 17-beta dehydrogenase 6 [Source:HGNC Symbol;Acc:HGNC:23316]
ENSG00000025434,9606.ENSP00000477707,True,False,NR1H3,protein_coding,nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]
ENSG00000027001,9606.ENSP00000371607,False,True,MIPEP,protein_coding,mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]
ENSG00000028528,9606.ENSP00000261889,False,True,SNX1,protein_coding,sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]
ENSG00000029725,9606.ENSP00000445408,False,True,RABEP1,protein_coding,"rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]"
ENSG00000031003,9606.ENSP00000033079,False,True,FAM13B,protein_coding,family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335]
ENSG00000031698,9606.ENSP00000234677,True,False,SARS,protein_coding,seryl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:10537]
ENSG00000032742,9606.ENSP00000323580,True,True,IFT88,protein_coding,intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]
ENSG00000033100,9606.ENSP00000035307,False,True,CHPF2,protein_coding,chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]
ENSG00000033122,9606.ENSP00000035383,False,True,LRRC7,protein_coding,leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]
ENSG00000033178,9606.ENSP00000313454,False,True,UBA6,protein_coding,ubiquitin like modifier activating enzyme 6 [Source:HGNC Symbol;Acc:HGNC:25581]
ENSG00000033627,9606.ENSP00000264649,False,True,ATP6V0A1,protein_coding,ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]
ENSG00000033867,9606.ENSP00000295736,False,True,SLC4A7,protein_coding,solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]
ENSG00000037474,9606.ENSP00000264670,False,True,NSUN2,protein_coding,NOP2/Sun RNA methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:25994]
ENSG00000037637,9606.ENSP00000364742,False,True,FBXO42,protein_coding,F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]
ENSG00000038210,9606.ENSP00000264864,True,True,PI4K2B,protein_coding,phosphatidylinositol 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:18215]
ENSG00000038219,9606.ENSP00000040738,True,True,BOD1L1,protein_coding,biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]
ENSG00000040275,9606.ENSP00000265295,False,True,SPDL1,protein_coding,spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]
ENSG00000041802,9606.ENSP00000265245,False,True,LSG1,protein_coding,large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]
ENSG00000041988,9606.ENSP00000054650,False,True,THAP3,protein_coding,THAP domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20855]
ENSG00000042429,9606.ENSP00000251871,False,True,MED17,protein_coding,mediator complex subunit 17 [Source:HGNC Symbol;Acc:HGNC:2375]
ENSG00000042493,9606.ENSP00000263867,False,True,CAPG,protein_coding,"capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]"
ENSG00000042813,9606.ENSP00000046087,True,False,ZPBP,protein_coding,zona pellucida binding protein [Source:HGNC Symbol;Acc:HGNC:15662]
ENSG00000044574,9606.ENSP00000324173,True,False,HSPA5,protein_coding,heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]
ENSG00000046604,9606.ENSP00000261590,False,True,DSG2,protein_coding,desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]
ENSG00000047346,9606.ENSP00000443598,False,True,FAM214A,protein_coding,family with sequence similarity 214 member A [Source:HGNC Symbol;Acc:HGNC:25609]
ENSG00000047578,9606.ENSP00000261588,False,True,KIAA0556,protein_coding,KIAA0556 [Source:HGNC Symbol;Acc:HGNC:29068]
ENSG00000048028,9606.ENSP00000003302,False,True,USP28,protein_coding,ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625]
ENSG00000048392,9606.ENSP00000251810,False,True,RRM2B,protein_coding,ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]
ENSG00000048405,9606.ENSP00000376989,False,True,ZNF800,protein_coding,zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]
ENSG00000049656,9606.ENSP00000313854,False,True,CLPTM1L,protein_coding,CLPTM1 like [Source:HGNC Symbol;Acc:HGNC:24308]
ENSG00000050130,9606.ENSP00000450749,True,False,JKAMP,protein_coding,JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]
ENSG00000050438,9606.ENSP00000405812,True,True,SLC4A8,protein_coding,solute carrier family 4 member 8 [Source:HGNC Symbol;Acc:HGNC:11034]
ENSG00000051341,9606.ENSP00000264233,False,True,POLQ,protein_coding,DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]
ENSG00000052749,9606.ENSP00000446184,False,True,RRP12,protein_coding,ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]
ENSG00000052795,9606.ENSP00000264433,False,True,FNIP2,protein_coding,folliculin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29280]
ENSG00000052841,9606.ENSP00000039989,False,True,TTC17,protein_coding,tetratricopeptide repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:25596]
ENSG00000053372,9606.ENSP00000364320,True,False,MRTO4,protein_coding,"MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]"
ENSG00000054983,9606.ENSP00000261304,False,True,GALC,protein_coding,galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]
ENSG00000055147,9606.ENSP00000341597,False,True,FAM114A2,protein_coding,family with sequence similarity 114 member A2 [Source:HGNC Symbol;Acc:HGNC:1333]
ENSG00000055332,9606.ENSP00000233057,False,True,EIF2AK2,protein_coding,eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]
ENSG00000055950,9606.ENSP00000339844,True,False,MRPL43,protein_coding,mitochondrial ribosomal protein L43 [Source:HGNC Symbol;Acc:HGNC:14517]
ENSG00000056097,9606.ENSP00000265069,False,True,ZFR,protein_coding,zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]
ENSG00000057294,9606.ENSP00000070846,False,True,PKP2,protein_coding,plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]
ENSG00000057468,9606.ENSP00000263187,False,True,MSH4,protein_coding,mutS homolog 4 [Source:HGNC Symbol;Acc:HGNC:7327]
ENSG00000059378,9606.ENSP00000263549,False,True,PARP12,protein_coding,poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]
ENSG00000059769,9606.ENSP00000320650,False,True,DNAJC25,protein_coding,DnaJ heat shock protein family (Hsp40) member C25 [Source:HGNC Symbol;Acc:HGNC:34187]
ENSG00000060237,9606.ENSP00000341292,False,True,WNK1,protein_coding,WNK lysine deficient protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:14540]
ENSG00000060642,9606.ENSP00000363260,True,False,PIGV,protein_coding,phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031]
ENSG00000060709,9606.ENSP00000261655,False,True,RIMBP2,protein_coding,RIMS binding protein 2 [Source:HGNC Symbol;Acc:HGNC:30339]
ENSG00000060762,9606.ENSP00000354223,False,True,MPC1,protein_coding,mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]
ENSG00000061492,9606.ENSP00000426653,True,True,WNT8A,protein_coding,Wnt family member 8A [Source:HGNC Symbol;Acc:HGNC:12788]
ENSG00000061676,9606.ENSP00000354251,False,True,NCKAP1,protein_coding,NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]
ENSG00000061987,9606.ENSP00000377250,False,True,MON2,protein_coding,"MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]"
ENSG00000062650,9606.ENSP00000298767,False,True,WAPL,protein_coding,WAPL cohesin release factor [Source:HGNC Symbol;Acc:HGNC:23293]
ENSG00000063127,9606.ENSP00000338627,False,True,SLC6A16,protein_coding,solute carrier family 6 member 16 [Source:HGNC Symbol;Acc:HGNC:13622]
ENSG00000063176,9606.ENSP00000245222,True,False,SPHK2,protein_coding,sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]
ENSG00000063244,9606.ENSP00000307863,False,True,U2AF2,protein_coding,U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156]
ENSG00000063587,9606.ENSP00000359271,False,True,ZNF275,protein_coding,zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]
ENSG00000063854,9606.ENSP00000380514,True,False,HAGH,protein_coding,hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:HGNC:4805]
ENSG00000063978,9606.ENSP00000426503,False,True,RNF4,protein_coding,ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]
ENSG00000064419,9606.ENSP00000265388,False,True,TNPO3,protein_coding,transportin 3 [Source:HGNC Symbol;Acc:HGNC:17103]
ENSG00000064607,9606.ENSP00000472286,True,False,SUGP2,protein_coding,SURP and G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18641]
ENSG00000064989,9606.ENSP00000386972,False,True,CALCRL,protein_coding,calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]
ENSG00000065135,9606.ENSP00000358867,False,True,GNAI3,protein_coding,G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]
ENSG00000065243,9606.ENSP00000359552,False,True,PKN2,protein_coding,protein kinase N2 [Source:HGNC Symbol;Acc:HGNC:9406]
ENSG00000065268,9606.ENSP00000476117,True,False,WDR18,protein_coding,WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]
ENSG00000065308,9606.ENSP00000182527,True,True,TRAM2,protein_coding,translocation associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16855]
ENSG00000065609,9606.ENSP00000400459,False,True,SNAP91,protein_coding,synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]
ENSG00000065618,9606.ENSP00000340937,False,True,COL17A1,protein_coding,collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]
ENSG00000065665,9606.ENSP00000298428,True,False,SEC61A2,protein_coding,Sec61 translocon alpha 2 subunit [Source:HGNC Symbol;Acc:HGNC:17702]
ENSG00000065883,9606.ENSP00000181839,False,True,CDK13,protein_coding,cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]
ENSG00000065911,9606.ENSP00000377617,False,True,MTHFD2,protein_coding,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]"
ENSG00000066117,9606.ENSP00000378414,False,True,SMARCD1,protein_coding,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:HGNC Symbol;Acc:HGNC:11106]"
ENSG00000066322,9606.ENSP00000477602,False,True,ELOVL1,protein_coding,ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]
ENSG00000066336,9606.ENSP00000227163,False,True,SPI1,protein_coding,Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]
ENSG00000066557,9606.ENSP00000359990,False,True,LRRC40,protein_coding,leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]
ENSG00000066923,9606.ENSP00000477973,True,True,STAG3,protein_coding,stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]
ENSG00000066926,9606.ENSP00000372326,False,True,FECH,protein_coding,ferrochelatase [Source:HGNC Symbol;Acc:HGNC:3647]
ENSG00000067057,9606.ENSP00000370517,True,False,PFKP,protein_coding,"phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]"
ENSG00000067113,9606.ENSP00000264775,False,True,PLPP1,protein_coding,phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]
ENSG00000067221,9606.ENSP00000442478,True,True,STOML1,protein_coding,stomatin like 1 [Source:HGNC Symbol;Acc:HGNC:14560]
ENSG00000067533,9606.ENSP00000355899,False,True,RRP15,protein_coding,ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]
ENSG00000067560,9606.ENSP00000400175,False,True,RHOA,protein_coding,ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]
ENSG00000067836,9606.ENSP00000322832,False,True,ROGDI,protein_coding,rogdi atypical leucine zipper [Source:HGNC Symbol;Acc:HGNC:29478]
ENSG00000067955,9606.ENSP00000415151,False,True,CBFB,protein_coding,core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]
ENSG00000068028,9606.ENSP00000349547,True,True,RASSF1,protein_coding,Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]
ENSG00000068308,9606.ENSP00000156084,False,True,OTUD5,protein_coding,OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402]
ENSG00000068366,9606.ENSP00000339787,False,True,ACSL4,protein_coding,acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]
ENSG00000068697,9606.ENSP00000175091,True,False,LAPTM4A,protein_coding,lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]
ENSG00000069248,9606.ENSP00000261396,False,True,NUP133,protein_coding,nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]
ENSG00000069424,9606.ENSP00000367323,False,True,KCNAB2,protein_coding,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]
ENSG00000070366,9606.ENSP00000263073,False,True,SMG6,protein_coding,SMG6 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:17809]
ENSG00000070367,9606.ENSP00000484855,True,False,EXOC5,protein_coding,exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]
ENSG00000070476,9606.ENSP00000374359,False,True,ZXDC,protein_coding,ZXD family zinc finger C [Source:HGNC Symbol;Acc:HGNC:28160]
ENSG00000070614,9606.ENSP00000261797,False,True,NDST1,protein_coding,N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]
ENSG00000070759,9606.ENSP00000361158,False,True,TESK2,protein_coding,testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]
ENSG00000071462,9606.ENSP00000401191,False,True,BUD23,protein_coding,BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]
ENSG00000071626,9606.ENSP00000233078,True,True,DAZAP1,protein_coding,DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]
ENSG00000071794,9606.ENSP00000308944,False,True,HLTF,protein_coding,helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]
ENSG00000072310,9606.ENSP00000348069,True,False,SREBF1,protein_coding,sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]
ENSG00000072518,9606.ENSP00000385751,False,True,MARK2,protein_coding,microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332]
