id_gene_DM,gene_DM,DM_up,DM_down,id_gene_HS,gene_HS,HS_up,HS_down,id_gene_MM,gene_MM,MM_up,MM_down,StockNumber,FlyBase Genotype,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Phenotype or literature,Previously known to affect spermatogenesis,Function,Overlapping,Previous ref to RNAi working
FBgn0034479,CG8654,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","True,False,True","False,True,False",,,,,,,,,,,,,,,
FBgn0033809,CG4630,True,False,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","True,False,True","False,True,False",61249,y[1] v[1]; P{TRiP.HMJ23028}attP40,45.0,33.0,16.0,15.0,74.0,56.0,75.0,72.0,,,,,No
FBgn0086558,Ubi-p5E,True,True,"ENSG00000170315,ENSG00000263563","UBB,UBBP4","True,True","False,False",ENSMUSG00000019505,Ubb,True,False,,,,,,,,,,,,,,,
FBgn0003943,Ubi-p63E,True,True,"ENSG00000170315,ENSG00000263563","UBB,UBBP4","True,True","False,False",ENSMUSG00000019505,Ubb,True,False,v102379,P{KK109327}VIE-260B,26.0,0.0,28.0,0.0,24.0,0.0,20.0,0.0,Meiotic arrest,http://dev.biologists.org/content/140/17/3522,polyubiquitin precursor,,No
FBgn0029856,CG11700,True,True,"ENSG00000170315,ENSG00000263563","UBB,UBBP4","True,True","False,False",ENSMUSG00000019505,Ubb,True,False,,,,,,,,,,,,,,,
FBgn0015828,TfIIEalpha,True,True,ENSG00000153767,GTF2E1,False,True,ENSMUSG00000022828,Gtf2e1,True,True,,,,,,,,,,,,,,,
FBgn0265174,PIG-V,True,True,ENSG00000060642,PIGV,True,False,ENSMUSG00000043257,Pigv,True,True,v8143,w[1118]; P{GD3514}v8143/TM3,24.0,23.0,25.0,24.0,29.0,29.0,27.0,24.0,,,,,Yes
FBgn0037660,beag,True,True,ENSG00000113141,IK,False,True,ENSMUSG00000024474,Ik,True,False,,,,,,,,,,,,,,,
FBgn0033916,Usp20-33,True,True,ENSG00000136878,USP20,False,True,"ENSMUSG00000026854,ENSMUSG00000025437","Usp20,Usp33","True,False","False,True",v110250,P{KK104810}VIE-260B,14.0,0.0,15.0,0.0,9.0,0.0,15.0,0.0,No sperm. Individualization defect.,No,Ubiquitin specific protease,No,No
FBgn0011224,heph,True,True,ENSG00000117569,PTBP2,True,False,ENSMUSG00000028134,Ptbp2,True,True,,,,,,,,,,,,,,,
FBgn0030607,dob,True,True,ENSG00000177666,PNPLA2,False,True,ENSMUSG00000025509,Pnpla2,True,False,,,,,,,,,,,,,,,
FBgn0036449,bmm,True,True,ENSG00000177666,PNPLA2,False,True,ENSMUSG00000025509,Pnpla2,True,False,,,,,,,,,,,,,,,
FBgn0034849,CG3500,True,True,ENSG00000144043,TEX261,True,True,ENSMUSG00000014748,Tex261,True,False,v19703,w[1118]; P{GD2177}v19703,25.0,23.0,30.0,5.0,30.0,11.0,19.0,16.0,OAT. Individualization defect. ?Abnormal Nebenkern? ?Cytokinesis defect (based on similarity with Det)?,No,Transmembrane adaptor Erv26 (ER-Golgi transport),,Yes
FBgn0023096,btv,True,True,ENSG00000187240,DYNC2H1,False,True,ENSMUSG00000047193,Dync2h1,True,False,,,,,,,,,,,,,,,
FBgn0036273,INPP5E,True,True,ENSG00000148384,INPP5E,True,True,ENSMUSG00000026925,Inpp5e,True,False,34037,y[1] sc[*] v[1]; P{TRiP.HMS01011}attP2,10.0,0.0,8.0,0.0,18.0,0.0,20.0,0.0,Meiotic arrest,No,Inositol polyphosphate-related phosphatase,,No
FBgn0030574,CG9413,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","True,False","False,True",,,,,,,,,,,,,,,
FBgn0002778,mnd,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","True,False","False,True",,,,,,,,,,,,,,,
FBgn0039487,gb,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","True,False","False,True",v1262,w[1118]; P{GD315}v1262,28.0,26.0,30.0,25.0,30.0,30.0,25.0,25.0,,,,,Yes
FBgn0039844,CG1607,False,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","True,False","False,True",,,,,,,,,,,,,,,
FBgn0028425,JhI-21,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","True,False","False,True",,,,,,,,,,,,,,,
FBgn0031020,Naa15-16,True,True,ENSG00000164134,NAA15,False,True,ENSMUSG00000022020,Naa16,False,True,,,,,,,,,,,,,,,
FBgn0026192,par-6,True,True,ENSG00000124171,PARD6B,False,True,ENSMUSG00000005699,Pard6a,True,False,,,,,,,,,,,,,,,
FBgn0002783,mor,True,True,ENSG00000139613,SMARCC2,False,True,ENSMUSG00000025369,Smarcc2,True,False,,,,,,,,,,,,,,,
FBgn0033038,CG7791,True,True,ENSG00000027001,MIPEP,False,True,ENSMUSG00000021993,Mipep,True,False,,,,,,,,,,,,,,,
FBgn0085370,Pde11,True,True,ENSG00000138735,PDE5A,False,True,ENSMUSG00000023868,Pde10a,True,True,,,,,,,,,,,,,,,
FBgn0027330,l(1)G0020,True,True,ENSG00000135372,NAT10,False,True,ENSMUSG00000027185,Nat10,True,True,v13479,w[1118]; P{GD3539}v13479,23.0,17.0,31.0,29.0,31.0,28.0,30.0,26.0,,,,,Yes
FBgn0261618,larp,True,True,"ENSG00000138709,ENSG00000155506","LARP1B,LARP1","True,False","False,True","ENSMUSG00000025762,ENSMUSG00000037331","Larp1b,Larp1","True,True","False,False",v24841,w[1118]; P{GD8215}v24841,30.0,28.0,30.0,27.0,29.0,25.0,21.0,15.0,No discernible phenotype. Test all available reagents,Yes. Mutant is male sterile and has partially penetrant spermatocyte/spermatid defects (https://www.sciencedirect.com/science/article/pii/S0012160609010665?via%3Dihub),protein that associates and interacts with poly(A)-binding protein,,Yes
FBgn0038965,mats,True,True,"ENSG00000114978,ENSG00000173542","MOB1A,MOB1B","False,False","True,True",ENSMUSG00000043131,Mob1a,False,True,,,,,,,,,,,,,,,
FBgn0034975,enok,True,True,"ENSG00000136504,ENSG00000083168","KAT7,KAT6A","False,False","True,True","ENSMUSG00000038909,ENSMUSG00000021767","Kat7,Kat6b","True,False","True,True",,,,,,,,,,,,,,,
FBgn0028387,chm,True,True,"ENSG00000136504,ENSG00000083168","KAT7,KAT6A","False,False","True,True","ENSMUSG00000038909,ENSMUSG00000021767","Kat7,Kat6b","True,False","True,True",,,,,,,,,,,,,,,
FBgn0086712,Egm,True,True,ENSG00000072778,ACADVL,True,False,"ENSMUSG00000027710,ENSMUSG00000018574","Acad9,Acadvl","False,False","True,True",,,,,,,,,,,,,,,
FBgn0034432,CG7461,True,True,ENSG00000072778,ACADVL,True,False,"ENSMUSG00000027710,ENSMUSG00000018574","Acad9,Acadvl","False,False","True,True",,,,,,,,,,,,,,,
FBgn0027538,beta4GalNAcTA,True,True,ENSG00000117411,B4GALT2,False,True,ENSMUSG00000052423,B4galt3,False,True,v103579, P{KK101459}VIE-260B,29.0,27.0,17.0,16.0,29.0,25.0,29.0,21.0,,,,,No
FBgn0026630,nes,True,True,ENSG00000111684,LPCAT3,True,True,ENSMUSG00000004270,Lpcat3,True,False,,,,,,,,,,,,,,,
FBgn0003612,Su(var)2-10,True,True,ENSG00000131788,PIAS3,False,True,"ENSMUSG00000032405,ENSMUSG00000025423","Pias1,Pias2","True,True","False,False",,,,,,,,,,,,,,,
FBgn0035879,GAPcenA,True,True,ENSG00000152061,RABGAP1L,True,False,ENSMUSG00000026721,Rabgap1l,True,True,,,,,,,,,,,,,,,
FBgn0030655,CG9213,True,False,ENSG00000152404,CWF19L2,False,True,ENSMUSG00000025898,Cwf19l2,False,True,,,,,,,,,,,,,,,
FBgn0004363,porin,True,True,ENSG00000078668,VDAC3,True,False,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053","Vdac2,Vdac3,Vdac3-ps1","True,True,True","False,False,False",v101336,P{KK107645}VIE-260B,26.0,0.0,9.0,0.0,15.0,0.0,14.0,0.0,No sperm. Individualization defect.,Yes. Nebenkern and individualization defects,channel protein localized in the outer membrane of mitochondria ,"Yes, but specific RNAi",Yes
FBgn0069354,Porin2,True,True,ENSG00000078668,VDAC3,True,False,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053","Vdac2,Vdac3,Vdac3-ps1","True,True,True","False,False,False",,,,,,,,,,,,,,,
FBgn0001216,Hsc70-1,True,True,ENSG00000126803,HSPA2,True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","False,True","True,False",v45596,w[1118]; P{GD13532}v45596,18.0,6.0,30.0,8.0,29.0,7.0,25.0,20.0,OAT. Individualization defect,No,Heat shock protein cognate 1,No,Yes
FBgn0001217,Hsc70-2,True,True,ENSG00000126803,HSPA2,True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","False,True","True,False",,,,,,,,,,,,,,,
FBgn0266599,Hsc70-4,True,True,ENSG00000126803,HSPA2,True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","False,True","True,False",54810,y[1] v[1]; P{TRiP.HMJ21529}attP40,25.0,7.0,17.0,0.0,23.0,18.0,23.0,0.0,Morphologically normal testis.,No. Female fertility defect,Heat shock protein cognate 4,No,Yes
FBgn0001230,Hsp68,True,True,ENSG00000126803,HSPA2,True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","False,True","True,False",,,,,,,,,,,,,,,
FBgn0024285,Srp54,True,True,"ENSG00000153914,ENSG00000116754","SREK1,SRSF11","False,True","True,True","ENSMUSG00000032621,ENSMUSG00000055436","Srek1,Srsf11","True,False","True,True",,,,,,,,,,,,,,,
FBgn0041604,dlp,True,True,ENSG00000213420,GPC2,True,False,"ENSMUSG00000031119,ENSMUSG00000029510","Gpc4,Gpc2","False,True","True,False",v10298,w[1118]; P{GD3592}v10298/TM3,28.0,26.0,30.0,26.0,26.0,25.0,30.0,29.0,,,,,Yes
FBgn0028694,Rpn11,True,True,ENSG00000115233,PSMD14,False,True,ENSMUSG00000026914,Psmd14,False,True,v19272,w[1118]; P{GD8888}v19272,14.0,0.0,16.0,0.0,22.0,0.0,25.0,0.0,Meiotic arrest,No,26S Proteasome non-ATPase regulatory subunit 14,No,Yes
FBgn0037203,slif,True,True,ENSG00000139514,SLC7A1,False,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","False,False","True,True",,,,,,,,,,,,,,,
FBgn0036493,CG7255,True,True,ENSG00000139514,SLC7A1,False,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","False,False","True,True",,,,,,,,,,,,,,,
FBgn0036764,CG5535,True,True,ENSG00000139514,SLC7A1,False,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","False,False","True,True",,,,,,,,,,,,,,,
FBgn0035798,frac,False,True,ENSG00000138829,FBN2,True,True,ENSMUSG00000024598,Fbn2,False,True,,,,,,,,,,,,,,,
FBgn0053196,dpy,True,True,ENSG00000138829,FBN2,True,True,ENSMUSG00000024598,Fbn2,False,True,,,,,,,,,,,,,,,
FBgn0038233,HtrA2,True,True,ENSG00000115317,HTRA2,False,True,ENSMUSG00000006205,Htra1,False,True,,,,,,,,,,,,,,,
FBgn0036821,CG3961,True,False,ENSG00000164398,ACSL6,True,True,"ENSMUSG00000018796,ENSMUSG00000020333","Acsl1,Acsl6","True,True","False,False",v37305,w[1118]; P{GD2713}v37305,29.0,24.0,31.0,28.0,30.0,21.0,30.0,28.0,,,,,Yes
FBgn0266465,GckIII,True,True,ENSG00000115694,STK25,False,True,ENSMUSG00000026277,Stk25,True,True,,,,,,,,,,,,,,,
FBgn0036043,CG8177,True,True,"ENSG00000033867,ENSG00000050438","SLC4A7,SLC4A8","False,True","True,True",ENSMUSG00000023032,Slc4a8,True,False,51827,y[1] v[1]; P{TRiP.HMC03399}attP40,20.0,17.0,27.0,17.0,57.0,46.0,76.0,68.0,,,,,Yes
FBgn0259111,Ndae1,True,False,"ENSG00000033867,ENSG00000050438","SLC4A7,SLC4A8","False,True","True,True",ENSMUSG00000023032,Slc4a8,True,False,,,,,,,,,,,,,,,
FBgn0003008,or,True,True,ENSG00000157823,AP3S2,True,True,ENSMUSG00000063801,Ap3s2,False,True,,,,,,,,,,,,,,,
FBgn0262743,Fs(2)Ket,True,True,ENSG00000108424,KPNB1,True,True,ENSMUSG00000001440,Kpnb1,False,True,,,,,,,,,,,,,,,
FBgn0025864,Crag,True,True,ENSG00000198837,DENND4B,True,False,ENSMUSG00000042404,Dennd4b,True,False,,,,,,,,,,,,,,,
FBgn0031534,Snx1,True,True,"ENSG00000028528,ENSG00000205302","SNX1,SNX2","False,False","True,True",ENSMUSG00000032382,Snx1,True,False,,,,,,,,,,,,,,,
FBgn0285911,Vps16A,True,True,ENSG00000215305,VPS16,False,True,ENSMUSG00000027411,Vps16,False,True,,,,,,,,,,,,,,,
FBgn0032475,Sfmbt,True,True,"ENSG00000100395,ENSG00000011258","L3MBTL2,MBTD1","True,False","False,True",ENSMUSG00000022394,L3mbtl2,True,True,,,,,,,,,,,,,,,
FBgn0010340,140up,True,True,ENSG00000113845,TIMMDC1,True,True,ENSMUSG00000002846,Timmdc1,False,True,v48717,w[1118] P{GD16421}v48717,19.0,18.0,32.0,32.0,31.0,29.0,20.0,17.0,,,,,Yes
FBgn0285958,Fuca,True,True,ENSG00000001036,FUCA2,False,True,ENSMUSG00000028673,Fuca1,True,False,,,,,,,,,,,,,,,
FBgn0262739,AGO1,True,True,ENSG00000134698,AGO4,True,False,"ENSMUSG00000036698,ENSMUSG00000042500","Ago2,Ago4","False,True","True,True",33727,y[1] sc[*] v[1]; P{TRiP.HMS00610}attP2,15.0,15.0,24.0,23.0,28.0,27.0,25.0,25.0,No discernible phenotype,"Yes, but with somatic driver (hub driver: upd) - leads to crystals in spermatocytes. No reference to fertility defects. http://jcs.biologists.org/content/joces/128/11/2070.full.pdf",,,Yes
FBgn0029993,CG1571,True,True,ENSG00000171595,DNAI2,True,True,ENSMUSG00000034706,Dnaic2,True,False,,,,,,,,,,,,,,,
FBgn0032520,CG10859,True,True,ENSG00000171595,DNAI2,True,True,ENSMUSG00000034706,Dnaic2,True,False,,,,,,,,,,,,,,,
FBgn0039140,Miro,True,True,ENSG00000140983,RHOT2,False,True,"ENSMUSG00000017686,ENSMUSG00000025733","Rhot1,Rhot2","True,False","False,True",,,,,,,,,,,,,,,
FBgn0033984,Lap1,True,True,ENSG00000033122,LRRC7,False,True,"ENSMUSG00000022568,ENSMUSG00000032352","Scrib,Lrrc1","True,True","False,False",,,,,,,,,,,,,,,
FBgn0263289,scrib,True,True,ENSG00000033122,LRRC7,False,True,"ENSMUSG00000022568,ENSMUSG00000032352","Scrib,Lrrc1","True,True","False,False",,,,,,,,,,,,,,,
FBgn0010258,Rbp4,True,True,"ENSG00000122566,ENSG00000139675,ENSG00000170144","HNRNPA2B1,HNRNPA1L2,HNRNPA3","False,False,True","True,True,False",ENSMUSG00000004980,Hnrnpa2b1,False,True,,,,,,,,,,,,,,,
FBgn0004903,Rb97D,True,True,"ENSG00000122566,ENSG00000139675,ENSG00000170144","HNRNPA2B1,HNRNPA1L2,HNRNPA3","False,False,True","True,True,False",ENSMUSG00000004980,Hnrnpa2b1,False,True,,,,,,,,,,,,,,,
FBgn0001215,Hrb98DE,True,True,"ENSG00000122566,ENSG00000139675,ENSG00000170144","HNRNPA2B1,HNRNPA1L2,HNRNPA3","False,False,True","True,True,False",ENSMUSG00000004980,Hnrnpa2b1,False,True,,,,,,,,,,,,,,,
FBgn0004237,Hrb87F,True,True,"ENSG00000122566,ENSG00000139675,ENSG00000170144","HNRNPA2B1,HNRNPA1L2,HNRNPA3","False,False,True","True,True,False",ENSMUSG00000004980,Hnrnpa2b1,False,True,,,,,,,,,,,,,,,
FBgn0000464,Lar,True,True,ENSG00000105426,PTPRS,False,True,ENSMUSG00000013236,Ptprs,False,True,,,,,,,,,,,,,,,
FBgn0002719,Men,True,True,ENSG00000151376,ME3,False,True,ENSMUSG00000030621,Me3,True,False,,,,,,,,,,,,,,,
