id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation,id_gene_HS,id_gene_MM,id_gene_DM,gene_HS,gene_MM,gene_DM
3B9MN,9606.ENSP00000372193,10090.ENSMUSP00000035964,7227.FBpp0086939,voltage-gated chloride channel activity,ENSG00000103249,ENSMUSG00000036636,FBgn0033755,CLCN7,Clcn7,ClC-b
3B9N9,"9606.ENSP00000245407,9606.ENSP00000361666","10090.ENSMUSP00000019044,10090.ENSMUSP00000075814","7227.FBpp0083982,7227.FBpp0083983",organic anion transmembrane transporter activity,"ENSG00000197375,ENSG00000137204","ENSMUSG00000018900,ENSMUSG00000063652","FBgn0086365,FBgn0019952","SLC22A5,SLC22A7","Slc22a5,Slc22a21","Orct2,Orct"
3B9NC,9606.ENSP00000304697,10090.ENSMUSP00000019649,7227.FBpp0073035,protein tag,ENSG00000170315,ENSMUSG00000019505,FBgn0003943,UBB,Ubb,Ubi-p63E
3B9U2,"9606.ENSP00000280612,9606.ENSP00000455064","10090.ENSMUSP00000000984,10090.ENSMUSP00000041557",7227.FBpp0073761,L-alpha-amino acid transmembrane transport,"ENSG00000151012,ENSG00000103064","ENSMUSG00000000958,ENSMUSG00000040010",FBgn0030574,"SLC7A11,SLC7A6","Slc7a7,Slc7a5",CG9413
3B9XB,9606.ENSP00000347046,10090.ENSMUSP00000086485,7227.FBpp0289559,"3',5'-cyclic-GMP phosphodiesterase activity",ENSG00000138735,ENSMUSG00000023868,FBgn0038237,PDE5A,Pde10a,Pde6
3B9YX,9606.ENSP00000438689,"10090.ENSMUSP00000011492,10090.ENSMUSP00000099634",7227.FBpp0289511,long-chain-acyl-CoA dehydrogenase activity,ENSG00000072778,"ENSMUSG00000027710,ENSMUSG00000018574",FBgn0034432,ACADVL,"Acad9,Acadvl",CG7461
3BA0A,9606.ENSP00000428845,"10090.ENSMUSP00000022293,10090.ENSMUSP00000136273,10090.ENSMUSP00000137236",7227.FBpp0079773,Voltage-dependent anion-selective channel protein,ENSG00000078668,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053",FBgn0069354,VDAC3,"Vdac2,Vdac3,Vdac3-ps1",Porin2
3BA0S,9606.ENSP00000385808,"10090.ENSMUSP00000028977,10090.ENSMUSP00000112782",7227.FBpp0075762,microtubule motor activity,ENSG00000131437,"ENSMUSG00000027475,ENSMUSG00000018395",FBgn0004381,KIF3A,"Kif3b,Kif3a",Klp68D
3BA18,9606.ENSP00000378199,"10090.ENSMUSP00000007248,10090.ENSMUSP00000015800,10090.ENSMUSP00000079306","7227.FBpp0075504,7227.FBpp0082175",heat shock,ENSG00000126803,"ENSMUSG00000007033,ENSMUSG00000015656,ENSMUSG00000059970","FBgn0001216,FBgn0001217",HSPA2,"Hspa1l,Hspa8,Hspa2","Hsc70-1,Hsc70-2"
3BA2A,9606.ENSP00000331209,10090.ENSMUSP00000136717,"7227.FBpp0072531,7227.FBpp0271924",Ester hydrolase C11orf54 homolog,ENSG00000182919,ENSMUSG00000031938,"FBgn0035189,FBgn0063667",C11orf54,4931406C07Rik,"CG9119,CG32335"
3BA2V,9606.ENSP00000370128,"10090.ENSMUSP00000046714,10090.ENSMUSP00000096414","7227.FBpp0078206,7227.FBpp0099766",cationic amino acid transporter,ENSG00000139514,"ENSMUSG00000041313,ENSMUSG00000031596","FBgn0037203,FBgn0036493",SLC7A1,"Slc7a1,Slc7a2","slif,CG7255"
3BA39,9606.ENSP00000258080,"10090.ENSMUSP00000006367,10090.ENSMUSP00000087073",7227.FBpp0303078,pentacyclic triterpenoid metabolic process,ENSG00000115317,"ENSMUSG00000006205,ENSMUSG00000068329",FBgn0038233,HTRA2,"Htra1,Htra2",HtrA2
3BA3F,9606.ENSP00000368566,"10090.ENSMUSP00000034046,10090.ENSMUSP00000104533",7227.FBpp0074844,medium-chain fatty acid-CoA ligase activity,ENSG00000164398,"ENSMUSG00000018796,ENSMUSG00000020333",FBgn0036821,ACSL6,"Acsl1,Acsl6",CG3961
3BA3V,9606.ENSP00000358698,10090.ENSMUSP00000112448,7227.FBpp0087596,frizzled binding,ENSG00000134245,ENSMUSG00000030170,FBgn0004360,WNT2B,Wnt5b,Wnt2
3BA46,"9606.ENSP00000295736,9606.ENSP00000405812",10090.ENSMUSP00000023776,7227.FBpp0288814,sodium:bicarbonate symporter activity,"ENSG00000033867,ENSG00000050438",ENSMUSG00000023032,FBgn0259111,"SLC4A7,SLC4A8",Slc4a8,Ndae1
3BA4A,9606.ENSP00000220822,10090.ENSMUSP00000026879,7227.FBpp0076870,mitochondrial fission,ENSG00000104381,ENSMUSG00000025777,FBgn0035587,GDAP1,Gdap1,Gdap1
3BA72,9606.ENSP00000400252,10090.ENSMUSP00000065787,7227.FBpp0080100,outer dynein arm assembly,ENSG00000171595,ENSMUSG00000034706,FBgn0032520,DNAI2,Dnaic2,CG10859
3BA84,9606.ENSP00000440246,10090.ENSMUSP00000032856,7227.FBpp0082129,Malic enzyme,ENSG00000151376,ENSMUSG00000030621,FBgn0002719,ME3,Me3,Men
3BA8E,9606.ENSP00000377782,10090.ENSMUSP00000088678,7227.FBpp0099825,sequence-specific DNA binding,ENSG00000109381,ENSMUSG00000037174,FBgn0000567,ELF2,Elf2,Eip74EF
3BAAR,9606.ENSP00000261693,10090.ENSMUSP00000031377,7227.FBpp0072308,Belongs to the CD36 family,ENSG00000073060,ENSMUSG00000029426,FBgn0010435,SCARB1,Scarb2,emp
3BAAV,"9606.ENSP00000366641,9606.ENSP00000445929",10090.ENSMUSP00000032476,7227.FBpp0305687,hexose transmembrane transporter activity,"ENSG00000142583,ENSG00000173262",ENSMUSG00000003153,FBgn0264574,"SLC2A5,SLC2A14",Slc2a3,Glut1
3BAB7,9606.ENSP00000446215,10090.ENSMUSP00000031383,7227.FBpp0075369,snRNA import into nucleus,ENSG00000132341,ENSMUSG00000029430,FBgn0036497,RAN,Ran,Ran-like
3BAEQ,9606.ENSP00000291295,"10090.ENSMUSP00000019514,10090.ENSMUSP00000048857,10090.ENSMUSP00000105709","7227.FBpp0084276,7227.FBpp0087929,7227.FBpp0087930",calcium ion binding,ENSG00000160014,"ENSMUSG00000019370,ENSMUSG00000036438,ENSMUSG00000001175","FBgn0039373,FBgn0033238,FBgn0050378",CALM3,"Calm3,Calm2,Calm1","CG5024,azot,CG30378"
3BAFZ,"9606.ENSP00000364000,9606.ENSP00000379866",10090.ENSMUSP00000023123,7227.FBpp0305720,collagen,"ENSG00000204262,ENSG00000081052",ENSMUSG00000022483,FBgn0016075,"COL5A2,COL4A4",Col2a1,vkg
3BAIT,"9606.ENSP00000264917,9606.ENSP00000311453",10090.ENSMUSP00000026672,7227.FBpp0291341,"3',5'-cyclic-AMP phosphodiesterase activity","ENSG00000113231,ENSG00000073417",ENSMUSG00000025584,FBgn0266377,"PDE8B,PDE8A",Pde8a,Pde8
3BARG,9606.ENSP00000367755,10090.ENSMUSP00000092811,7227.FBpp0080901,calmodulin-lysine N-methyltransferase activity,ENSG00000143919,ENSMUSG00000071037,FBgn0032857,CAMKMT,Camkmt,CG10947
3BARU,9606.ENSP00000216039,10090.ENSMUSP00000048415,7227.FBpp0070860,thiol-dependent ubiquitin-specific protease activity,ENSG00000100221,ENSMUSG00000038695,FBgn0029853,JOSD1,Josd2,CG3781
3BASG,9606.ENSP00000358867,"10090.ENSMUSP00000000001,10090.ENSMUSP00000114144",7227.FBpp0076643,G-protein beta/gamma-subunit complex binding,ENSG00000065135,"ENSMUSG00000000001,ENSMUSG00000031748",FBgn0001104,GNAI3,"Gnai3,Gnao1",Galphai
3BAUV,"9606.ENSP00000318197,9606.ENSP00000326042,9606.ENSP00000382982","10090.ENSMUSP00000084713,10090.ENSMUSP00000085580","7227.FBpp0081062,7227.FBpp0081565,7227.FBpp0082964",structural constituent of cytoskeleton,"ENSG00000152086,ENSG00000075886,ENSG00000198033","ENSMUSG00000067338,ENSMUSG00000067702","FBgn0003885,FBgn0003886,FBgn0038565","TUBA3E,TUBA3D,TUBA3C","Tuba3b,Tuba3a","alphaTub84D,alphaTub85E,CG7794"
3BAXN,9606.ENSP00000255977,10090.ENSMUSP00000031985,7227.FBpp0073753,protein modification by small protein conjugation,ENSG00000133606,ENSMUSG00000029922,FBgn0030578,MKRN1,Mkrn1,CG5347
3BB2J,9606.ENSP00000319052,10090.ENSMUSP00000100020,7227.FBpp0080611,heterotrimeric G-protein binding,ENSG00000177143,ENSMUSG00000045031,FBgn0051802,CETN1,Cetn4,CG31802
3BB3B,9606.ENSP00000403925,10090.ENSMUSP00000067882,7227.FBpp0304278,developmental process involved in reproduction,ENSG00000154114,ENSMUSG00000037287,FBgn0265512,TBCEL,Tbcel,mlt
3BB8C,9606.ENSP00000222644,10090.ENSMUSP00000125880,7227.FBpp0088886,Belongs to the MAGUK family,ENSG00000105926,ENSMUSG00000038388,FBgn0250785,MPP6,Mpp6,vari
3BBAZ,"9606.ENSP00000283426,9606.ENSP00000353646",10090.ENSMUSP00000014927,"7227.FBpp0086135,7227.FBpp0088791","Pleckstrin homology domain containing, family G (with RhoGef domain) member","ENSG00000153404,ENSG00000196155",ENSMUSG00000014782,"FBgn0034194,FBgn0035802","PLEKHG4B,PLEKHG4",Plekhg4,"CG15611,Pura"
3BBB4,9606.ENSP00000376443,"10090.ENSMUSP00000030010,10090.ENSMUSP00000045285,10090.ENSMUSP00000047927","7227.FBpp0110124,7227.FBpp0297618","ATPase activity, coupled to transmembrane movement of substances",ENSG00000154265,"ENSMUSG00000015243,ENSMUSG00000024130,ENSMUSG00000018800","FBgn0083956,FBgn0031170",ABCA5,"Abca1,Abca3,Abca5","CG34120,ABCA"
3BBBA,9606.ENSP00000303830,10090.ENSMUSP00000005671,"7227.FBpp0080716,7227.FBpp0082463",insulin receptor substrate binding,ENSG00000171105,ENSMUSG00000005533,"FBgn0032752,FBgn0038279",INSR,Igf1r,"CG10702,Sdr"
3BBJ6,9606.ENSP00000368305,10090.ENSMUSP00000105769,"7227.FBpp0074813,7227.FBpp0082033",starch binding. It is involved in the biological process described with lipid metabolic process,ENSG00000125772,ENSMUSG00000027346,"FBgn0036836,FBgn0038008",GPCPD1,Gpcpd1,"CG11619,CG3942"
3BBKC,9606.ENSP00000377721,10090.ENSMUSP00000032768,7227.FBpp0082035,radial pattern formation,ENSG00000185551,ENSMUSG00000030551,FBgn0003651,NR2F2,Nr2f2,svp
3BBKV,9606.ENSP00000310978,10090.ENSMUSP00000132190,7227.FBpp0075543,ethanolamine-phosphate phospho-lyase activity,ENSG00000175309,ENSMUSG00000020359,FBgn0036381,PHYKPL,Phykpl,CG8745
3BBND,9606.ENSP00000324510,"10090.ENSMUSP00000102058,10090.ENSMUSP00000138188","7227.FBpp0292144,7227.FBpp0305560",regulation of dense core granule exocytosis,ENSG00000007516,"ENSMUSG00000057948,ENSMUSG00000047507","FBgn0266719,FBgn0035756",BAIAP3,"Unc13d,Baiap3","stac,unc-13-4A"
3BBPR,"9606.ENSP00000226207,9606.ENSP00000384330",10090.ENSMUSP00000099867,7227.FBpp0080452,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,"ENSG00000109061,ENSG00000133020",ENSMUSG00000053093,FBgn0264695,"MYH1,MYH8",Myh7,Mhc
3BBR0,"9606.ENSP00000385751,9606.ENSP00000483424","10090.ENSMUSP00000027929,10090.ENSMUSP00000131684",7227.FBpp0290718,Map microtubule affinity-regulating kinase,"ENSG00000072518,ENSG00000116141","ENSMUSG00000026620,ENSMUSG00000024969",FBgn0260934,"MARK2,MARK1","Mark1,Mark2",par-1
3BBUH,9606.ENSP00000360664,10090.ENSMUSP00000099803,7227.FBpp0077736,embryo development ending in birth or egg hatching,ENSG00000134717,ENSMUSG00000028568,FBgn0031264,BTF3L4,Btf3l4,CG11835
3BC6Y,9606.ENSP00000367323,10090.ENSMUSP00000125058,7227.FBpp0300312,Voltage-gated potassium channel subunit,ENSG00000069424,ENSMUSG00000028931,FBgn0263220,KCNAB2,Kcnab2,Hk
3BCAM,"9606.ENSP00000268793,9606.ENSP00000376807",10090.ENSMUSP00000034371,7227.FBpp0111628,dipeptidase activity,"ENSG00000141096,ENSG00000015413",ENSMUSG00000031898,FBgn0266100,"DPEP3,DPEP1",Dpep3,CG44837
3BCCI,9606.ENSP00000292246,10090.ENSMUSP00000045214,7227.FBpp0080263,intracellular chloride channel activity,ENSG00000160746,ENSMUSG00000037949,FBgn0028879,ANO10,Ano10,CG15270
3BCFH,9606.ENSP00000295628,10090.ENSMUSP00000077779,7227.FBpp0071392,Leucine rich repeat,ENSG00000163428,ENSMUSG00000034158,FBgn0052687,LRRC58,Lrrc58,CG32687
3BCKV,9606.ENSP00000446242,10090.ENSMUSP00000026899,"7227.FBpp0083299,7227.FBpp0087946,7227.FBpp0306183",oxaloacetate(2-) transmembrane transport,ENSG00000183048,ENSMUSG00000025792,"FBgn0038797,FBgn0033248,FBgn0036808",SLC25A10,Slc25a10,"Dic2,Dic3,Dic4"
3BCPB,9606.ENSP00000309741,10090.ENSMUSP00000026897,7227.FBpp0079423,"Solute carrier organic anion transporter family, member",ENSG00000173930,ENSMUSG00000025790,FBgn0032123,SLCO4C1,Slco3a1,Oatp30B
3BCPK,9606.ENSP00000442656,"10090.ENSMUSP00000000544,10090.ENSMUSP00000088453",7227.FBpp0078721,transmembrane receptor protein serine/threonine kinase activity,ENSG00000135503,"ENSMUSG00000000532,ENSMUSG00000026836",FBgn0003716,ACVR1B,"Acvr1b,Acvr1",tkv
3BCUC,9606.ENSP00000264649,10090.ENSMUSP00000044838,"7227.FBpp0083071,7227.FBpp0084743","Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase",ENSG00000033627,ENSMUSG00000019302,"FBgn0028670,FBgn0028671",ATP6V0A1,Atp6v0a1,"Vha100-2,Vha100-1"
3BCX4,9606.ENSP00000318429,10090.ENSMUSP00000042772,7227.FBpp0083775,outer dynein arm assembly,ENSG00000105479,ENSMUSG00000040189,FBgn0039070,CCDC114,Ccdc114,CG17083
3BCYK,9606.ENSP00000477602,10090.ENSMUSP00000006557,7227.FBpp0081313,"Catalyzes the first and rate-limiting reaction of the four that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids VLCFAs per cycle. Condensing enzyme",ENSG00000066322,ENSMUSG00000006390,FBgn0037534,ELOVL1,Elovl1,CG2781
3BD0W,9606.ENSP00000366488,10090.ENSMUSP00000005606,7227.FBpp0085090,camp-dependent protein kinase catalytic subunit,ENSG00000165059,ENSMUSG00000005469,FBgn0039796,PRKACG,Prkaca,CG12069
3BD14,9606.ENSP00000311121,10090.ENSMUSP00000042590,7227.FBpp0072257,"The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH",ENSG00000154611,ENSMUSG00000036743,FBgn0017556,PSMA8,Psma8,Prosalpha4T2
3BD4S,9606.ENSP00000264775,10090.ENSMUSP00000016144,"7227.FBpp0078157,7227.FBpp0087635",Lipid phosphate phosphohydrolase,ENSG00000067113,ENSMUSG00000021759,"FBgn0037165,FBgn0016078",PLPP1,Plpp1,"CG11437,wun"
3BD60,9606.ENSP00000358575,10090.ENSMUSP00000103771,7227.FBpp0085543,cilium movement,ENSG00000272514,ENSMUSG00000028294,FBgn0034532,CFAP206,Cfap206,CG13436
3BD78,9606.ENSP00000307674,10090.ENSMUSP00000090032,7227.FBpp0081866,nucleotidase 1,ENSG00000171302,ENSMUSG00000025575,FBgn0037900,CANT1,Cant1,CG5276
3BD7U,9606.ENSP00000356263,10090.ENSMUSP00000093581,"7227.FBpp0071713,7227.FBpp0071716,7227.FBpp0080294",UPF0364 protein C6orf211 homolog,ENSG00000146476,ENSMUSG00000061759,"FBgn0034689,FBgn0034687,FBgn0028892",ARMT1,Armt1,"CG2921,CG11475,CG4161"
3BDAR,9606.ENSP00000219240,10090.ENSMUSP00000070303,7227.FBpp0289671,dihydroorotate dehydrogenase activity,ENSG00000102967,ENSMUSG00000031730,FBgn0000447,DHODH,Dhodh,Dhod
3BDEG,9606.ENSP00000470152,10090.ENSMUSP00000126194,7227.FBpp0111987,zinc ion binding,ENSG00000134769,ENSMUSG00000071454,FBgn0033739,DTNA,Dtnb,Dyb
3BDJX,9606.ENSP00000317842,"10090.ENSMUSP00000034172,10090.ENSMUSP00000121729",7227.FBpp0078010,carboxylic ester hydrolase activity,ENSG00000172831,"ENSMUSG00000056973,ENSMUSG00000074156",FBgn0037090,CES2,"Ces1d,Ces1h",Est-Q
3BDQF,9606.ENSP00000341289,"10090.ENSMUSP00000042342,10090.ENSMUSP00000136922","7227.FBpp0076678,7227.FBpp0081524",structural constituent of cytoskeleton,ENSG00000188229,"ENSMUSG00000036752,ENSMUSG00000095159","FBgn0052396,FBgn0003889",TUBB4B,"Tubb4b,Tubb4b-ps1","CG32396,betaTub85D"
3BE2N,9606.ENSP00000449535,10090.ENSMUSP00000029135,7227.FBpp0078067,acetate-CoA ligase activity,ENSG00000111058,ENSMUSG00000027605,FBgn0012034,ACSS3,Acss2,AcCoAS
3BE60,9606.ENSP00000360541,10090.ENSMUSP00000030345,7227.FBpp0072848,carnitine O-palmitoyltransferase activity,ENSG00000157184,ENSMUSG00000028607,FBgn0035383,CPT2,Cpt2,CPT2
3BE6T,9606.ENSP00000365272,10090.ENSMUSP00000102814,7227.FBpp0290503,guanylate kinase activity,ENSG00000150672,ENSMUSG00000052572,FBgn0001624,DLG2,Dlg2,dlg1
3BE7K,9606.ENSP00000433757,10090.ENSMUSP00000056378,"7227.FBpp0082652,7227.FBpp0084076,7227.FBpp0111383",positive regulation of catalytic activity in other organism involved in symbiotic interaction,ENSG00000149292,ENSMUSG00000040219,"FBgn0051294,FBgn0039228,FBgn0085303",TTC12,Ttc12,"CG31294,CG6980,CG34274"
3BEAF,9606.ENSP00000315006,10090.ENSMUSP00000022036,7227.FBpp0289410,nucleoside:sodium symporter activity,ENSG00000137860,ENSMUSG00000021553,FBgn0033371,SLC28A2,Slc28a3,CNT1
3BEQ1,9606.ENSP00000289119,10090.ENSMUSP00000002549,7227.FBpp0087661,abhydrolase domain-containing protein,ENSG00000158201,ENSMUSG00000002475,FBgn0033382,ABHD3,Abhd3,Hydr1
3BEV2,9606.ENSP00000354610,10090.ENSMUSP00000070368,7227.FBpp0086155,alpha-amylase,ENSG00000240038,ENSMUSG00000074264,FBgn0000079,AMY2B,Amy1,Amy-p
3BF67,9606.ENSP00000418529,10090.ENSMUSP00000086542,7227.FBpp0289272,negative regulation of protein localization to centrosome,ENSG00000088833,ENSMUSG00000027455,FBgn0259729,NSFL1C,Nsfl1c,CG42383
3BFJ9,9606.ENSP00000339449,10090.ENSMUSP00000021287,7227.FBpp0076646,"WD domain, G-beta repeat",ENSG00000166596,ENSMUSG00000020904,FBgn0035724,CFAP52,Cfap52,CG10064
3BFQK,9606.ENSP00000370803,10090.ENSMUSP00000102167,7227.FBpp0077044,ciliary basal body organization,ENSG00000103540,ENSMUSG00000033904,FBgn0031191,CCP110,Ccp110,Cp110
3BG3K,9606.ENSP00000289388,10090.ENSMUSP00000095303,7227.FBpp0303714,Ciliogenesis associated TTC17 interacting protein,ENSG00000158428,ENSMUSG00000073650,FBgn0028903,CATIP,Catip,CG13243
3BG4D,9606.ENSP00000280605,"10090.ENSMUSP00000002025,10090.ENSMUSP00000022529",7227.FBpp0074898,Transketolase,ENSG00000151005,"ENSMUSG00000025519,ENSMUSG00000021957",FBgn0036784,TKTL2,"Tktl2,Tkt",CG5103
3BGT7,"9606.ENSP00000280706,9606.ENSP00000302393","10090.ENSMUSP00000032373,10090.ENSMUSP00000103267","7227.FBpp0297097,7227.FBpp0304375",belongs to the LDH MDH superfamily,"ENSG00000166800,ENSG00000171989","ENSMUSG00000030246,ENSMUSG00000063229","FBgn0033856,FBgn0001258","LDHAL6A,LDHAL6B","Ldhb,Ldha","CG13334,Ldh"
3BGYQ,9606.ENSP00000354830,10090.ENSMUSP00000058896,7227.FBpp0075899,negative regulation of signal transduction,ENSG00000145358,ENSMUSG00000046818,FBgn0041094,DDIT4L,Ddit4l,scyl
3BH2J,9606.ENSP00000307241,10090.ENSMUSP00000022268,7227.FBpp0084735,pyruvate dehydrogenase (acetyl-transferring) activity,ENSG00000168291,ENSMUSG00000021748,FBgn0039635,PDHB,Pdhb,Pdhb
3BHI6,9606.ENSP00000363329,10090.ENSMUSP00000081574,7227.FBpp0300818,High affinity copper uptake protein,ENSG00000136868,ENSMUSG00000066150,FBgn0062413,SLC31A1,Slc31a1,Ctr1A
3BHS2,9606.ENSP00000293845,10090.ENSMUSP00000114381,7227.FBpp0080766,Coiled-coil domain-containing protein,ENSG00000161973,ENSMUSG00000045915,FBgn0032768,CCDC42,Ccdc42,CG17564
3BHSR,9606.ENSP00000425786,10090.ENSMUSP00000079208,"7227.FBpp0078752,7227.FBpp0082200",Domain of unknown function (DUF4464),ENSG00000197826,ENSMUSG00000057816,"FBgn0031720,FBgn0038122",CFAP299,Cfap299,"CG14013,CG8138"
3BI22,9606.ENSP00000413575,10090.ENSMUSP00000003720,7227.FBpp0084605,carnitine O-octanoyltransferase,ENSG00000005469,ENSMUSG00000003623,FBgn0039543,CROT,Crot,CG12428
3BIBY,9606.ENSP00000401399,10090.ENSMUSP00000035092,7227.FBpp0305215,myeloid differentiation primary response protein MyD88,ENSG00000172936,ENSMUSG00000032508,FBgn0033402,MYD88,Myd88,Myd88
3BPSW,9606.ENSP00000355480,10090.ENSMUSP00000027775,7227.FBpp0071498,calcium ion binding,ENSG00000203666,ENSMUSG00000026495,FBgn0034592,EFCAB2,Efcab2,CG9406
3BQD6,9606.ENSP00000216225,10090.ENSMUSP00000023036,7227.FBpp0300874,NEDD8 transferase activity,ENSG00000100387,ENSMUSG00000022400,FBgn0025638,RBX1,Rbx1,Roc1a
3BRFU,9606.ENSP00000412894,10090.ENSMUSP00000023924,7227.FBpp0084928,tRNA 5'-leader removal,ENSG00000163684,ENSMUSG00000023156,FBgn0039744,RPP14,Rpp14,CG15526
3BT8J,9606.ENSP00000238618,10090.ENSMUSP00000008966,7227.FBpp0290228,"Acylphosphatase 1, erythrocyte (common) type",ENSG00000119640,ENSMUSG00000008822,FBgn0085190,ACYP1,Acyp1,CG34161
3BTCU,9606.ENSP00000297258,10090.ENSMUSP00000029046,7227.FBpp0099728,regulation of retrograde trans-synaptic signaling by endocanabinoid,ENSG00000164687,ENSMUSG00000027533,FBgn0037913,FABP5,Fabp5,fabp
