id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation,id_gene_HS,id_gene_MM,id_gene_DM,gene_HS,gene_MM,gene_DM
3B9A9,9606.ENSP00000265107,10090.ENSMUSP00000037340,7227.FBpp0072033,enzyme binding,ENSG00000082068,ENSMUSG00000039828,FBgn0034908,WDR70,Wdr70,CG5543
3B9AE,9606.ENSP00000336655,10090.ENSMUSP00000099361,7227.FBpp0110403,Ste20-related kinase,ENSG00000266173,ENSMUSG00000069631,FBgn0046692,STRADA,Strada,Stlk
3B9BN,9606.ENSP00000283646,10090.ENSMUSP00000064158,7227.FBpp0296955,ribose-5-phosphate isomerase activity,ENSG00000153574,ENSMUSG00000053604,FBgn0050410,RPIA,Rpia,Rpi
3B9BT,9606.ENSP00000345719,10090.ENSMUSP00000028199,7227.FBpp0070658,chaperone cofactor-dependent protein refolding,ENSG00000136827,ENSMUSG00000026848,FBgn0025615,TOR1A,Tor1b,Torsin
3B9C0,9606.ENSP00000384651,10090.ENSMUSP00000099468,7227.FBpp0111901,phosphatidylinositol 5-phosphate metabolic process,ENSG00000100330,ENSMUSG00000018401,FBgn0030735,MTMR3,Mtmr4,CG3632
3B9CE,9606.ENSP00000402346,10090.ENSMUSP00000038368,7227.FBpp0085155,"The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins",ENSG00000158623,ENSMUSG00000025607,FBgn0028968,COPG2,Copg2,gammaCOP
3B9CQ,9606.ENSP00000258418,10090.ENSMUSP00000022553,7227.FBpp0075117,positive regulation of peptidyl-threonine phosphorylation,ENSG00000135932,ENSMUSG00000021981,FBgn0017572,CAB39,Cab39l,Mo25
3B9DG,9606.ENSP00000387365,10090.ENSMUSP00000001836,7227.FBpp0087323,H4K20me3 modified histone binding,ENSG00000136045,ENSMUSG00000001785,FBgn0263510,PWP1,Pwp1,nclb
3B9DU,9606.ENSP00000281382,10090.ENSMUSP00000024957,7227.FBpp0074714,GPI anchor biosynthetic process,ENSG00000151665,ENSMUSG00000024145,FBgn0036893,PIGF,Pigf,PIG-F
3B9DX,9606.ENSP00000361982,10090.ENSMUSP00000041848,7227.FBpp0085330,tRNA pseudouridine synthase 2,ENSG00000167112,ENSMUSG00000039826,FBgn0033060,TRUB2,Trub2,CG7849
3B9E2,9606.ENSP00000321711,10090.ENSMUSP00000113503,7227.FBpp0083989,"RNA phosphodiester bond hydrolysis, exonucleolytic",ENSG00000166938,ENSMUSG00000032396,FBgn0039183,DIS3L,Dis3l,Dis3
3B9EA,9606.ENSP00000357909,10090.ENSMUSP00000057494,"7227.FBpp0075784,7227.FBpp0086050,7227.FBpp0086237,7227.FBpp0288448,7227.FBpp0292880",semaphorin receptor binding,ENSG00000143434,ENSMUSG00000052133,"FBgn0284221,FBgn0016059,FBgn0011260,FBgn0264273,FBgn0011259",SEMA6C,Sema5b,"Sema5c,Sema1b,Sema2a,Sema2b,Sema1a"
3B9EB,9606.ENSP00000401277,10090.ENSMUSP00000099038,7227.FBpp0303688,E3 ubiquitin-protein ligase Hakai,ENSG00000105879,ENSMUSG00000020659,FBgn0032812,CBLL1,Cbll1,Hakai
3B9FI,9606.ENSP00000467423,"10090.ENSMUSP00000049112,10090.ENSMUSP00000092849",7227.FBpp0084078,regulation of mRNA processing,ENSG00000160633,"ENSMUSG00000032212,ENSMUSG00000071054",FBgn0039229,SAFB,"Sltm,Safb",Saf-B
3B9G2,9606.ENSP00000263955,10090.ENSMUSP00000027263,7227.FBpp0073356,positive regulation of fibroblast apoptotic process,ENSG00000081320,ENSMUSG00000026094,FBgn0052666,STK17B,Stk17b,Drak
3B9GI,9606.ENSP00000261600,10090.ENSMUSP00000025137,7227.FBpp0078316,Tho complex,ENSG00000079134,ENSMUSG00000024287,FBgn0037382,THOC1,Thoc1,Hpr1
3B9GR,9606.ENSP00000274979,10090.ENSMUSP00000046884,7227.FBpp0291654,intracellular chloride channel activity,ENSG00000146205,ENSMUSG00000055489,FBgn0038721,ANO7,Ano5,subdued
3B9GT,9606.ENSP00000364519,10090.ENSMUSP00000127952,7227.FBpp0086853,negative regulation of fat cell proliferation,ENSG00000198176,ENSMUSG00000038482,FBgn0011763,TFDP1,Tfdp1,Dp
3B9H1,9606.ENSP00000411471,10090.ENSMUSP00000003319,7227.FBpp0074708,ATPase activity,ENSG00000161204,ENSMUSG00000003234,FBgn0036888,ABCF3,Abcf3,CG9330
3B9HN,9606.ENSP00000404381,10090.ENSMUSP00000087641,"7227.FBpp0082332,7227.FBpp0085515",chaperone cofactor-dependent protein refolding,ENSG00000164031,ENSMUSG00000074212,"FBgn0038195,FBgn0050156",DNAJB14,Dnajb14,"CG3061,CG30156"
3B9HR,"9606.ENSP00000303634,9606.ENSP00000367888",10090.ENSMUSP00000034713,"7227.FBpp0073931,7227.FBpp0086821,7227.FBpp0112298,7227.FBpp0291363,7227.FBpp0303798,7227.FBpp0305397",lipoprotein receptor-related protein,"ENSG00000157193,ENSG00000134569",ENSMUSG00000032193,"FBgn0030706,FBgn0000119,FBgn0051092,FBgn0261260,FBgn0053087,FBgn0066101","LRP8,LRP4",Ldlr,"Lrp4,arr,LpR2,mgl,LRP1,LpR1"
3B9HV,9606.ENSP00000339109,10090.ENSMUSP00000014499,7227.FBpp0073893,protein modification by small protein conjugation,ENSG00000153107,ENSMUSG00000014355,FBgn0004391,ANAPC1,Anapc1,shtd
3B9HX,9606.ENSP00000419751,10090.ENSMUSP00000029131,"7227.FBpp0074110,7227.FBpp0074393,7227.FBpp0297938",glutathione hydrolase activity,ENSG00000100121,ENSMUSG00000027603,"FBgn0030796,FBgn0030932,FBgn0025837",GGTLC2,Ggt7,"CG4829,Ggt-1,CG17636"
3B9I0,"9606.ENSP00000200557,9606.ENSP00000357668,9606.ENSP00000419446","10090.ENSMUSP00000011400,10090.ENSMUSP00000055000,10090.ENSMUSP00000069466",7227.FBpp0290713,Disintegrin and metalloproteinase domain-containing protein,"ENSG00000073670,ENSG00000148848,ENSG00000168615","ENSMUSG00000011256,ENSMUSG00000040537,ENSMUSG00000020926",FBgn0265140,"ADAM11,ADAM12,ADAM9","Adam19,Adam22,Adam11",Meltrin
3B9I5,"9606.ENSP00000346534,9606.ENSP00000386306","10090.ENSMUSP00000028377,10090.ENSMUSP00000080842",7227.FBpp0300662,voltage-gated sodium channel activity,"ENSG00000196876,ENSG00000169432","ENSMUSG00000075318,ENSMUSG00000023033",FBgn0085434,"SCN8A,SCN9A","Scn2a,Scn8a",NaCP60E
3B9IE,9606.ENSP00000361302,10090.ENSMUSP00000038722,7227.FBpp0075877,dolichyl-phosphate-mannose-protein mannosyltransferase activity,ENSG00000130714,ENSMUSG00000039254,FBgn0003292,POMT1,Pomt1,rt
3B9J2,9606.ENSP00000229795,10090.ENSMUSP00000086204,"7227.FBpp0080111,7227.FBpp0083966",MAP kinase activity,ENSG00000112062,ENSMUSG00000053137,"FBgn0024846,FBgn0015765",MAPK14,Mapk11,"p38b,p38a"
3B9JC,9606.ENSP00000297579,10090.ENSMUSP00000022909,7227.FBpp0075302,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",ENSG00000164934,ENSMUSG00000022300,FBgn0036500,DCAF13,Dcaf13,CG7275
3B9JD,9606.ENSP00000370517,"10090.ENSMUSP00000059801,10090.ENSMUSP00000117030",7227.FBpp0087506,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis",ENSG00000067057,"ENSMUSG00000033065,ENSMUSG00000021196",FBgn0003071,PFKP,"Pfkm,Pfkp",Pfk
3B9MD,9606.ENSP00000265465,10090.ENSMUSP00000025752,7227.FBpp0113035,May play an essential role at the early stage of chromosomal DNA replication by coupling the polymerase alpha primase complex to the cellular replication machinery,ENSG00000014138,ENSMUSG00000024833,FBgn0005696,POLA2,Pola2,DNApol-alpha73
3B9MH,9606.ENSP00000258654,10090.ENSMUSP00000045016,7227.FBpp0077262,oligomeric golgi complex,ENSG00000136152,ENSMUSG00000034893,FBgn0031536,COG3,Cog3,Cog3
3B9MN,9606.ENSP00000372193,10090.ENSMUSP00000035964,7227.FBpp0086939,voltage-gated chloride channel activity,ENSG00000103249,ENSMUSG00000036636,FBgn0033755,CLCN7,Clcn7,ClC-b
3B9N9,"9606.ENSP00000245407,9606.ENSP00000361666","10090.ENSMUSP00000019044,10090.ENSMUSP00000075814","7227.FBpp0076737,7227.FBpp0080925,7227.FBpp0083982,7227.FBpp0083983,7227.FBpp0113136,7227.FBpp0296957,7227.FBpp0305355",organic anion transmembrane transporter activity,"ENSG00000197375,ENSG00000137204","ENSMUSG00000018900,ENSMUSG00000063652","FBgn0035645,FBgn0032879,FBgn0086365,FBgn0019952,FBgn0035647,FBgn0034479,FBgn0033809","SLC22A5,SLC22A7","Slc22a5,Slc22a21","CG5592,CarT,Orct2,Orct,CG10486,CG8654,CG4630"
3B9NC,9606.ENSP00000304697,10090.ENSMUSP00000019649,"7227.FBpp0070894,7227.FBpp0073035,7227.FBpp0305700",protein tag,ENSG00000170315,ENSMUSG00000019505,"FBgn0086558,FBgn0003943,FBgn0029856",UBB,Ubb,"Ubi-p5E,Ubi-p63E,CG11700"
3B9NE,9606.ENSP00000283875,10090.ENSMUSP00000023525,7227.FBpp0075839,transcription initiation from RNA polymerase II promoter,ENSG00000153767,ENSMUSG00000022828,FBgn0015828,GTF2E1,Gtf2e1,TfIIEalpha
3B9NV,9606.ENSP00000363260,10090.ENSMUSP00000050647,7227.FBpp0086200,Mannosyltransferase involved in glycosylphosphatidylinositol-anchor biosynthesis,ENSG00000060642,ENSMUSG00000043257,FBgn0265174,PIGV,Pigv,PIG-V
3B9QU,9606.ENSP00000396301,10090.ENSMUSP00000007042,7227.FBpp0081475,protein localization to kinetochore,ENSG00000113141,ENSMUSG00000024474,FBgn0037660,IK,Ik,beag
3B9R4,9606.ENSP00000313811,"10090.ENSMUSP00000099913,10090.ENSMUSP00000113265",7227.FBpp0086664,protein K48-linked deubiquitination,ENSG00000136878,"ENSMUSG00000026854,ENSMUSG00000025437",FBgn0033916,USP20,"Usp20,Usp33",Usp20-33
3B9RD,9606.ENSP00000376272,10090.ENSMUSP00000023598,7227.FBpp0074246,positive regulation of DNA-directed DNA polymerase activity,ENSG00000163918,ENSMUSG00000022881,FBgn0030871,RFC4,Rfc4,CG8142
3B9RH,9606.ENSP00000359216,10090.ENSMUSP00000029780,7227.FBpp0297632,regulation of secretory granule organization,ENSG00000117569,ENSMUSG00000028134,FBgn0011224,PTBP2,Ptbp2,heph
3B9RT,9606.ENSP00000337701,10090.ENSMUSP00000127149,"7227.FBpp0073778,7227.FBpp0289427",diolein transacylation activity,ENSG00000177666,ENSMUSG00000025509,"FBgn0030607,FBgn0036449",PNPLA2,Pnpla2,"dob,bmm"
3B9S5,9606.ENSP00000359361,10090.ENSMUSP00000108994,7227.FBpp0112117,Belongs to the DEAD box helicase family,ENSG00000080007,ENSMUSG00000070291,FBgn0037549,DDX43,Ddx43,CG7878
3B9S9,9606.ENSP00000376534,10090.ENSMUSP00000129803,7227.FBpp0111979,DNA binding,ENSG00000123636,ENSMUSG00000040054,FBgn0033636,BAZ2B,Baz2a,tou
3B9SK,9606.ENSP00000272438,10090.ENSMUSP00000014892,7227.FBpp0071947,testis expressed 261,ENSG00000144043,ENSMUSG00000014748,FBgn0034849,TEX261,Tex261,CG3500
3B9T2,9606.ENSP00000317903,"10090.ENSMUSP00000043103,10090.ENSMUSP00000128659",7227.FBpp0305410,nucleic acid binding,ENSG00000179912,"ENSMUSG00000056211,ENSMUSG00000025404",FBgn0004875,R3HDM2,"R3hdm1,R3hdm2",enc
3B9T7,9606.ENSP00000381167,10090.ENSMUSP00000116679,7227.FBpp0271926,cytoplasmic dynein 2 heavy chain,ENSG00000187240,ENSMUSG00000047193,FBgn0023096,DYNC2H1,Dync2h1,btv
3B9TB,9606.ENSP00000360777,10090.ENSMUSP00000119485,7227.FBpp0075739,72 kDa inositol polyphosphate,ENSG00000148384,ENSMUSG00000026925,FBgn0036273,INPP5E,Inpp5e,INPP5E
3B9U1,9606.ENSP00000313601,10090.ENSMUSP00000046449,7227.FBpp0297275,coiled-coil and C2,ENSG00000132024,ENSMUSG00000036686,FBgn0261983,CC2D1A,Cc2d1a,l(2)gd1
3B9U2,"9606.ENSP00000280612,9606.ENSP00000455064","10090.ENSMUSP00000000984,10090.ENSMUSP00000041557","7227.FBpp0073761,7227.FBpp0075379,7227.FBpp0084502,7227.FBpp0085146,7227.FBpp0088925",L-alpha-amino acid transmembrane transport,"ENSG00000151012,ENSG00000103064","ENSMUSG00000000958,ENSMUSG00000040010","FBgn0030574,FBgn0002778,FBgn0039487,FBgn0039844,FBgn0028425","SLC7A11,SLC7A6","Slc7a7,Slc7a5","CG9413,mnd,gb,CG1607,JhI-21"
3B9UG,9606.ENSP00000324804,10090.ENSMUSP00000034560,7227.FBpp0297239,meiotic spindle elongation,ENSG00000105568,ENSMUSG00000032058,FBgn0260439,PPP2R1A,Ppp2r1b,Pp2A-29B
3B9UM,9606.ENSP00000296543,10090.ENSMUSP00000022597,7227.FBpp0074480,N-terminal peptidyl-methionine acetylation,ENSG00000164134,ENSMUSG00000022020,FBgn0031020,NAA15,Naa16,Naa15-16
3B9VD,9606.ENSP00000343629,10090.ENSMUSP00000025253,7227.FBpp0071395,Proline-rich coiled-coil,ENSG00000117523,ENSMUSG00000024393,FBgn0261710,PRRC2C,Prrc2a,nocte
3B9VH,9606.ENSP00000338624,10090.ENSMUSP00000039546,7227.FBpp0305777,threonine aspartase 1,ENSG00000089123,ENSMUSG00000039033,FBgn0263602,TASP1,Tasp1,Tasp1
3B9VV,9606.ENSP00000360672,10090.ENSMUSP00000090886,7227.FBpp0074229,establishment or maintenance of cell polarity,ENSG00000124171,ENSMUSG00000005699,FBgn0026192,PARD6B,Pard6a,par-6
3B9VZ,9606.ENSP00000265594,10090.ENSMUSP00000029259,7227.FBpp0300203,methylcrotonoyl-CoA carboxylase activity,ENSG00000078070,ENSMUSG00000027709,FBgn0039877,MCCC1,Mccc1,Mccc1
3B9WE,9606.ENSP00000267064,10090.ENSMUSP00000100868,7227.FBpp0082692,"SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member",ENSG00000139613,ENSMUSG00000025369,FBgn0002783,SMARCC2,Smarcc2,mor
3B9WU,9606.ENSP00000366098,"10090.ENSMUSP00000025811,10090.ENSMUSP00000032809",7227.FBpp0084411,ER to Golgi vesicle-mediated transport,ENSG00000174851,"ENSMUSG00000024875,ENSMUSG00000030588",FBgn0039450,YIF1A,"Yif1a,Yif1b",CG5484
3B9X7,9606.ENSP00000371607,10090.ENSMUSP00000069840,7227.FBpp0085393,Mitochondrial intermediate peptidase,ENSG00000027001,ENSMUSG00000021993,FBgn0033038,MIPEP,Mipep,CG7791
3B9XB,9606.ENSP00000347046,10090.ENSMUSP00000086485,"7227.FBpp0111456,7227.FBpp0289559","3',5'-cyclic-GMP phosphodiesterase activity",ENSG00000138735,ENSMUSG00000023868,"FBgn0085370,FBgn0038237",PDE5A,Pde10a,"Pde11,Pde6"
3B9XC,9606.ENSP00000257829,10090.ENSMUSP00000028608,7227.FBpp0071217,RNA acetylation,ENSG00000135372,ENSMUSG00000027185,FBgn0027330,NAT10,Nat10,l(1)G0020
3B9XE,9606.ENSP00000336721,"10090.ENSMUSP00000096721,10090.ENSMUSP00000136673",7227.FBpp0290398,La ribonucleoprotein domain family member,ENSG00000155506,"ENSMUSG00000025762,ENSMUSG00000037331",FBgn0261618,LARP1,"Larp1b,Larp1",larp
3B9XU,"9606.ENSP00000379364,9606.ENSP00000379366",10090.ENSMUSP00000054452,7227.FBpp0083624,hippo signaling,"ENSG00000114978,ENSG00000173542",ENSMUSG00000043131,FBgn0038965,"MOB1A,MOB1B",Mob1a,mats
3B9Y1,"9606.ENSP00000259021,9606.ENSP00000380136","10090.ENSMUSP00000099448,10090.ENSMUSP00000138421","7227.FBpp0072159,7227.FBpp0304793",histone acetyltransferase activity,"ENSG00000136504,ENSG00000083168","ENSMUSG00000038909,ENSMUSG00000021767","FBgn0034975,FBgn0028387","KAT7,KAT6A","Kat7,Kat6b","enok,chm"
3B9YS,9606.ENSP00000325091,10090.ENSMUSP00000023491,7227.FBpp0080522,negative regulation of T cell migration,ENSG00000130224,ENSMUSG00000022801,FBgn0032633,LRCH2,Lrch3,Lrch
3B9YX,9606.ENSP00000438689,"10090.ENSMUSP00000011492,10090.ENSMUSP00000099634","7227.FBpp0087192,7227.FBpp0289511",long-chain-acyl-CoA dehydrogenase activity,ENSG00000072778,"ENSMUSG00000027710,ENSMUSG00000018574","FBgn0086712,FBgn0034432",ACADVL,"Acad9,Acadvl","Egm,CG7461"
3B9ZH,9606.ENSP00000261407,10090.ENSMUSP00000004381,7227.FBpp0074786,1-acylglycerophosphocholine O-acyltransferase activity,ENSG00000111684,ENSMUSG00000004270,FBgn0026630,LPCAT3,Lpcat3,nes
3B9ZI,9606.ENSP00000376765,"10090.ENSMUSP00000096248,10090.ENSMUSP00000110425",7227.FBpp0087651,SUMO transferase activity,ENSG00000131788,"ENSMUSG00000032405,ENSMUSG00000025423",FBgn0003612,PIAS3,"Pias1,Pias2",Su(var)2-10
3BA02,9606.ENSP00000282251,10090.ENSMUSP00000027027,7227.FBpp0073887,Protein similar to CwfJ C-terminus 1,ENSG00000152404,ENSMUSG00000025898,FBgn0030655,CWF19L2,Cwf19l2,CG9213
3BA0A,9606.ENSP00000428845,"10090.ENSMUSP00000022293,10090.ENSMUSP00000136273,10090.ENSMUSP00000137236","7227.FBpp0079772,7227.FBpp0079773",Voltage-dependent anion-selective channel protein,ENSG00000078668,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053","FBgn0004363,FBgn0069354",VDAC3,"Vdac2,Vdac3,Vdac3-ps1","porin,Porin2"
3BA0S,9606.ENSP00000385808,"10090.ENSMUSP00000028977,10090.ENSMUSP00000112782","7227.FBpp0075762,7227.FBpp0076861",microtubule motor activity,ENSG00000131437,"ENSMUSG00000027475,ENSMUSG00000018395","FBgn0004381,FBgn0004380",KIF3A,"Kif3b,Kif3a","Klp68D,Klp64D"
3BA18,9606.ENSP00000378199,"10090.ENSMUSP00000007248,10090.ENSMUSP00000015800,10090.ENSMUSP00000079306","7227.FBpp0075504,7227.FBpp0082175,7227.FBpp0082516,7227.FBpp0083974",heat shock,ENSG00000126803,"ENSMUSG00000007033,ENSMUSG00000015656,ENSMUSG00000059970","FBgn0001216,FBgn0001217,FBgn0266599,FBgn0001230",HSPA2,"Hspa1l,Hspa8,Hspa2","Hsc70-1,Hsc70-2,Hsc70-4,Hsp68"
3BA1J,"9606.ENSP00000334538,9606.ENSP00000359988","10090.ENSMUSP00000074196,10090.ENSMUSP00000113685",7227.FBpp0079471,serine arginine-rich splicing factor 11,"ENSG00000153914,ENSG00000116754","ENSMUSG00000032621,ENSMUSG00000055436",FBgn0024285,"SREK1,SRSF11","Srek1,Srsf11",Srp54
3BA1Y,9606.ENSP00000292377,"10090.ENSMUSP00000033450,10090.ENSMUSP00000124459",7227.FBpp0075431,regulation of signal transduction,ENSG00000213420,"ENSMUSG00000031119,ENSMUSG00000029510",FBgn0041604,GPC2,"Gpc4,Gpc2",dlp
3BA27,9606.ENSP00000397552,10090.ENSMUSP00000029214,7227.FBpp0086115,chromatin remodeling,ENSG00000136518,ENSMUSG00000027671,FBgn0025716,ACTL6A,Actl6a,Bap55
3BA2A,9606.ENSP00000331209,10090.ENSMUSP00000136717,7227.FBpp0072531,Ester hydrolase C11orf54 homolog,ENSG00000182919,ENSMUSG00000031938,FBgn0035189,C11orf54,4931406C07Rik,CG9119
3BA2E,9606.ENSP00000386541,10090.ENSMUSP00000028278,7227.FBpp0078664,Lys63-specific deubiquitinase activity,ENSG00000115233,ENSMUSG00000026914,FBgn0028694,PSMD14,Psmd14,Rpn11
3BA2V,9606.ENSP00000370128,"10090.ENSMUSP00000046714,10090.ENSMUSP00000096414","7227.FBpp0078206,7227.FBpp0099766,7227.FBpp0271785",cationic amino acid transporter,ENSG00000139514,"ENSMUSG00000041313,ENSMUSG00000031596","FBgn0037203,FBgn0036493,FBgn0036764",SLC7A1,"Slc7a1,Slc7a2","slif,CG7255,CG5535"
3BA2W,9606.ENSP00000424571,10090.ENSMUSP00000025497,"7227.FBpp0076517,7227.FBpp0304622",sequestering of TGFbeta in extracellular matrix,ENSG00000138829,ENSMUSG00000024598,"FBgn0052373,FBgn0053196",FBN2,Fbn2,"CG32373,dpy"
3BA39,9606.ENSP00000258080,"10090.ENSMUSP00000006367,10090.ENSMUSP00000087073",7227.FBpp0303078,pentacyclic triterpenoid metabolic process,ENSG00000115317,"ENSMUSG00000006205,ENSMUSG00000068329",FBgn0038233,HTRA2,"Htra1,Htra2",HtrA2
3BA3F,9606.ENSP00000368566,"10090.ENSMUSP00000034046,10090.ENSMUSP00000104533",7227.FBpp0074844,medium-chain fatty acid-CoA ligase activity,ENSG00000164398,"ENSMUSG00000018796,ENSMUSG00000020333",FBgn0036821,ACSL6,"Acsl1,Acsl6",CG3961
3BA3I,9606.ENSP00000481022,10090.ENSMUSP00000029684,7227.FBpp0073895,protein transport,ENSG00000085365,ENSMUSG00000028049,FBgn0040285,SCAMP1,Scamp3,Scamp
