id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation
3B98R,9606.ENSP00000250974,,,Alpha beta hydrolase domain-containing protein
3B98S,,,7227.FBpp0073572,chromatin disassembly
3B98X,,,7227.FBpp0073600,alanine-oxo-acid transaminase activity
3B98Y,9606.ENSP00000344411,,,sensory perception of umami taste
3B991,,,7227.FBpp0082476,gluconolactonase activity
3B994,,,"7227.FBpp0290356,7227.FBpp0304871","calcium, potassium:sodium antiporter activity"
3B996,,,7227.FBpp0087663,RNA splicing
3B99A,"9606.ENSP00000384766,9606.ENSP00000385443",,,"Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases."
3B99C,,,7227.FBpp0078754,negative regulation of DNA damage checkpoint
3B99E,9606.ENSP00000322915,,7227.FBpp0111770,zinc ion binding
3B99K,"9606.ENSP00000321221,9606.ENSP00000440273",,,SH2B adapter protein
3B99N,"9606.ENSP00000348349,9606.ENSP00000471457",,,motor activity
3B99Q,9606.ENSP00000343248,,7227.FBpp0078933,peptidyl-threonine phosphorylation
3B99T,9606.ENSP00000381577,,,thiol-dependent ubiquitin-specific protease activity
3B99W,9606.ENSP00000416707,,,phosphatidylserine exposure on apoptotic cell surface
3B99X,9606.ENSP00000249269,,7227.FBpp0082459,Belongs to the peptidase M16 family
3B99Y,9606.ENSP00000368265,,,Ciliary neurotrophic factor receptor
3B9A0,9606.ENSP00000370896,,,Growth regulation by estrogen in breast
3B9A1,9606.ENSP00000345752,,,Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
3B9A4,9606.ENSP00000267890,,,cerebellar granule cell precursor tangential migration
3B9A6,9606.ENSP00000399862,,,CCR4-NOT transcription complex subunit 10
3B9A7,"9606.ENSP00000377061,9606.ENSP00000442736",,7227.FBpp0088287,semaphorin receptor activity
3B9A8,,,7227.FBpp0071946,mRNA methylation
3B9AB,9606.ENSP00000362136,,,"glycoprotein endo-alpha-1,2-mannosidase activity"
3B9AG,9606.ENSP00000300131,,,negative regulation of transcription by RNA polymerase III
3B9AH,,,7227.FBpp0305231,Midnolin
3B9AM,,,7227.FBpp0076535,microtubule nucleation by interphase microtubule organizing center
3B9AP,,,7227.FBpp0074933,lysosomal lumen pH elevation
3B9AQ,,,7227.FBpp0072151,DNA replication
3B9AR,,,7227.FBpp0073681,Kinetochore protein NDC80 homolog
3B9AU,9606.ENSP00000264065,,,homolog subfamily C member 10
3B9AY,9606.ENSP00000298283,,,embryonic brain development
3B9AZ,9606.ENSP00000264414,,7227.FBpp0291369,nuclear protein quality control by the ubiquitin-proteasome system
3B9B2,9606.ENSP00000381768,,,condensed mesenchymal cell proliferation
3B9B3,,,"7227.FBpp0083588,7227.FBpp0086326",isocitrate dehydrogenase (NAD+) activity
3B9B4,,,7227.FBpp0079550,"retrograde transport, endosome to plasma membrane"
3B9B5,,,7227.FBpp0080211,NUC153 domain
3B9B9,9606.ENSP00000376506,,,hydrogen peroxide-mediated programmed cell death
3B9BA,9606.ENSP00000342778,,,protein serine/threonine phosphatase activity
3B9BF,,,7227.FBpp0300511,adenylate cyclase-activating dopamine receptor signaling pathway
3B9BG,9606.ENSP00000403397,,,protein-cysteine S-acyltransferase activity
3B9BM,9606.ENSP00000330601,,,scavenger receptor activity
3B9BS,,,7227.FBpp0072607,
3B9BU,,,7227.FBpp0071508,gamete generation
3B9BW,"9606.ENSP00000311766,9606.ENSP00000368030,9606.ENSP00000368062",,,ATP binding
3B9BX,9606.ENSP00000337998,,,NCK-associated protein 5-like
3B9C1,9606.ENSP00000379263,,,Tektin 3
3B9C3,9606.ENSP00000303211,,7227.FBpp0289713,Belongs to the type-B carboxylesterase lipase family
3B9C7,9606.ENSP00000456348,,,NAD+ ADP-ribosyltransferase activity
3B9C9,9606.ENSP00000338487,,,"alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity"
3B9CC,9606.ENSP00000254323,,,zinc finger
3B9CG,9606.ENSP00000219611,,,calcium-dependent cysteine-type endopeptidase activity
3B9CI,9606.ENSP00000348933,,,Coiled-coil domain-containing protein 25
3B9CJ,9606.ENSP00000472474,,,L-amino-acid oxidase-like
3B9CK,9606.ENSP00000378193,,,RNA polymerase II transcription regulator recruiting activity
3B9CM,,,7227.FBpp0070839,UDP-xylose transmembrane transport
3B9CS,9606.ENSP00000324741,,,Domain of unknown function (DUF4707)
3B9CU,9606.ENSP00000417401,,,nuclear receptor transcription coactivator activity
3B9CW,,,7227.FBpp0070550,galanin-activated signaling pathway
3B9CY,9606.ENSP00000313490,,,phosphoribosylformylglycinamidine synthase activity
3B9D0,9606.ENSP00000223398,,7227.FBpp0080529,linker protein
3B9D5,9606.ENSP00000354498,,,positive regulation of basement membrane assembly involved in embryonic body morphogenesis
3B9DG,,,7227.FBpp0087323,H4K20me3 modified histone binding
3B9DM,,,7227.FBpp0086706,cysteine-tRNA ligase activity
3B9DN,9606.ENSP00000306138,,"7227.FBpp0271833,7227.FBpp0305080",adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
3B9DS,9606.ENSP00000346809,,,myo-inositol transport
3B9DY,9606.ENSP00000357669,,"7227.FBpp0271904,7227.FBpp0291650",guanylate cyclase activity
3B9E0,9606.ENSP00000357927,,,regulation of growth rate
3B9E1,9606.ENSP00000326261,,,mRNA processing
3B9E2,9606.ENSP00000366997,,,"RNA phosphodiester bond hydrolysis, exonucleolytic"
3B9E3,9606.ENSP00000386609,,,WD repeat-containing protein 81
3B9E8,9606.ENSP00000310901,,,cysteine and glycine-rich protein
3B9EA,9606.ENSP00000357909,,,semaphorin receptor binding
3B9EB,9606.ENSP00000401277,,,E3 ubiquitin-protein ligase Hakai
3B9EE,9606.ENSP00000417654,,,pyrimidine nucleotide-sugar transmembrane transporter activity
3B9EI,,,7227.FBpp0078553,sideroflexin
3B9EM,9606.ENSP00000296464,,,heat shock
3B9EN,9606.ENSP00000249373,,,ventral midline determination
3B9EP,9606.ENSP00000360916,,,Rho guanyl-nucleotide exchange factor activity
3B9ER,9606.ENSP00000362092,,,Ras-related GTP-binding protein
3B9ES,9606.ENSP00000293889,,,Coiled-coil domain containing 78
3B9ET,9606.ENSP00000301015,,7227.FBpp0291430,mechanosensitive ion channel activity
3B9EV,9606.ENSP00000331504,,,non-membrane spanning protein tyrosine kinase activity
3B9F0,,,7227.FBpp0088469,cytoplasmic linker associated protein
3B9F2,9606.ENSP00000325836,,7227.FBpp0081617,"DIRAS family, GTP-binding Ras-like"
3B9F3,,,"7227.FBpp0076949,7227.FBpp0082080",P-P-bond-hydrolysis-driven protein transmembrane transporter activity
3B9F6,9606.ENSP00000457353,,,intra-S DNA damage checkpoint
3B9F7,9606.ENSP00000363500,,,chloride channel activity
3B9FB,9606.ENSP00000204604,,,BMP signaling pathway involved in spinal cord dorsal/ventral patterning
3B9FD,9606.ENSP00000242480,,,rhombomere 5 formation
3B9FI,9606.ENSP00000252542,,,regulation of mRNA processing
3B9FQ,9606.ENSP00000405574,,,beta-catenin binding
3B9FR,,,7227.FBpp0082667,regulation of cell cycle
3B9FS,9606.ENSP00000347244,,,positive regulation of caveolin-mediated endocytosis
3B9FW,"9606.ENSP00000482760,9606.ENSP00000483552",,7227.FBpp0074038,positive regulation of smooth muscle cell-matrix adhesion
3B9FX,,,7227.FBpp0083926,response to cell cycle checkpoint signaling
3B9FY,9606.ENSP00000387310,,,protein depalmitoleylation
3B9G2,9606.ENSP00000319192,,,positive regulation of fibroblast apoptotic process
3B9G3,,,7227.FBpp0080024,translation release factor activity
3B9G6,9606.ENSP00000389399,,,solute:proton antiporter activity
3B9G7,9606.ENSP00000271636,,,motor activity
3B9G8,9606.ENSP00000349320,,"7227.FBpp0293237,7227.FBpp0304633",voltage-gated calcium channel activity
3B9GA,,,7227.FBpp0071592,Cyclic nucleotide-gated cation channel
3B9GC,,,7227.FBpp0088566,regulation of mRNA cap binding
3B9GK,9606.ENSP00000356940,,"7227.FBpp0075252,7227.FBpp0089042,7227.FBpp0305421",DBH-like monooxygenase protein 1
3B9GP,"9606.ENSP00000220325,9606.ENSP00000327116,9606.ENSP00000479153",,,Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
3B9GR,"9606.ENSP00000315371,9606.ENSP00000347454",,,intracellular chloride channel activity
3B9GX,9606.ENSP00000259512,,,protein destabilization
3B9GY,,,7227.FBpp0076543,heme binding
3B9H0,,,7227.FBpp0076155,Leucine Rich repeats (2 copies)
3B9H9,9606.ENSP00000270861,,,centriole replication
3B9HE,9606.ENSP00000421226,,,PMP-22/EMP/MP20/Claudin tight junction
3B9HG,,,"7227.FBpp0073200,7227.FBpp0074177",sperm flagellum movement
3B9HJ,9606.ENSP00000258455,,,"ribosomal protein, S9"
3B9HK,9606.ENSP00000386770,,7227.FBpp0290517,"ATP-dependent microtubule motor activity, minus-end-directed"
3B9HM,"9606.ENSP00000294725,9606.ENSP00000360822",,,intracellular sodium activated potassium channel activity
3B9HN,9606.ENSP00000404381,,,chaperone cofactor-dependent protein refolding
3B9HQ,,,7227.FBpp0084763,histone H2A acetylation
3B9HR,"9606.ENSP00000243077,9606.ENSP00000294304,9606.ENSP00000367888,9606.ENSP00000454071,9606.ENSP00000482378",,,lipoprotein receptor-related protein
3B9HS,"9606.ENSP00000427793,9606.ENSP00000480499",,,E3 ubiquitin-protein ligase
3B9HT,9606.ENSP00000478589,,7227.FBpp0112016,Tetratricopeptide repeats
3B9HY,9606.ENSP00000264554,,,SHC (Src homology 2 domain containing) transforming protein
3B9I0,9606.ENSP00000349436,,,Disintegrin and metalloproteinase domain-containing protein
3B9I2,"9606.ENSP00000302051,9606.ENSP00000364028",,,Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
3B9I4,9606.ENSP00000413418,,,Zinc finger homeobox
3B9I5,,,7227.FBpp0292707,voltage-gated sodium channel activity
3B9I7,9606.ENSP00000278520,,,Domain of unknown function (DUF4196)
3B9I8,9606.ENSP00000339179,,,positive regulation of CREB transcription factor activity
3B9IE,,,7227.FBpp0075877,dolichyl-phosphate-mannose-protein mannosyltransferase activity
3B9IF,9606.ENSP00000410186,,,Adenylate kinase
3B9IH,9606.ENSP00000273390,,7227.FBpp0292669,testis expressed 1
3B9II,9606.ENSP00000355964,,,positive regulation of fatty acid biosynthetic process
3B9IR,9606.ENSP00000311684,,,myosin light chain kinase activity
3B9IT,9606.ENSP00000353824,,,positive regulation of cardioblast proliferation
3B9IU,9606.ENSP00000465759,,,DNA-directed 5'-3' RNA polymerase activity
3B9IV,9606.ENSP00000322609,,,Glutamate-rich 3
3B9IW,9606.ENSP00000469863,,,protein serine/threonine/tyrosine kinase activity
3B9IX,,,7227.FBpp0289049,transmembrane transporter activity
3B9IY,"9606.ENSP00000308208,9606.ENSP00000337816,9606.ENSP00000353767",,,Belongs to the peptidase M10A family
3B9J1,9606.ENSP00000402000,,,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
3B9J2,9606.ENSP00000333685,,,MAP kinase activity
3B9J7,,,"7227.FBpp0075606,7227.FBpp0077085,7227.FBpp0085285",transmembrane transport
3B9JC,9606.ENSP00000297579,,,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
3B9JD,"9606.ENSP00000269848,9606.ENSP00000370517",,,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis"
3B9JI,9606.ENSP00000405575,,,multivesicular body-lysosome fusion
3B9JP,,,7227.FBpp0087108,"ATPase activity, coupled to transmembrane movement of substances"
3B9JQ,9606.ENSP00000317992,,7227.FBpp0081001,negative regulation of histone acetylation
3B9JV,9606.ENSP00000457206,,,SOCS box
3B9K2,9606.ENSP00000261643,,,Converts protoheme IX and farnesyl diphosphate to heme O
3B9K3,9606.ENSP00000281154,,,ATP:ADP antiporter activity
3B9K9,,,7227.FBpp0083234,positive regulation of mediator complex assembly
3B9KE,9606.ENSP00000296350,,7227.FBpp0074331,negative regulation of tumor necrosis factor (ligand) superfamily member 11 production
3B9KI,,,7227.FBpp0078889,"transferase activity, transferring acyl groups"
3B9KS,9606.ENSP00000295770,,,subunit of the oligosaccharyltransferase complex
3B9M7,9606.ENSP00000338990,,,Autophagy-related protein 101
3B9M8,,,7227.FBpp0084871,protein transport
3B9MC,9606.ENSP00000349131,,,positive regulation of non-canonical Wnt signaling pathway
3B9MD,,,7227.FBpp0113035,May play an essential role at the early stage of chromosomal DNA replication by coupling the polymerase alpha primase complex to the cellular replication machinery
3B9MF,,,7227.FBpp0292870,Guanylyl cyclase
3B9MI,9606.ENSP00000355893,,,regulation of zinc ion transport
3B9MJ,,,7227.FBpp0083688,URB1 ribosome biogenesis 1 homolog (S. cerevisiae)
3B9MK,9606.ENSP00000231948,,,metal ion binding
3B9MM,9606.ENSP00000265562,,,"phosphatase, non-receptor type 23"
3B9MN,9606.ENSP00000372193,,,voltage-gated chloride channel activity
3B9MQ,,,"7227.FBpp0071650,7227.FBpp0291546,7227.FBpp0302590",protein serine/threonine phosphatase activity
3B9MX,9606.ENSP00000333934,,,tRNA binding
3B9MY,,,7227.FBpp0073500,Meckel syndrome type 1
3B9MZ,9606.ENSP00000357079,,,Trichohyalin-plectin-homology domain
3B9N0,,,7227.FBpp0074227,RNA secondary structure unwinding
3B9N9,,,"7227.FBpp0080925,7227.FBpp0113136,7227.FBpp0296957",organic anion transmembrane transporter activity
3B9NB,9606.ENSP00000382379,,,Ankyrin repeat
3B9NC,,,7227.FBpp0073035,protein tag
3B9NF,"9606.ENSP00000262839,9606.ENSP00000419313",,,store-operated calcium channel activity
3B9NG,9606.ENSP00000287169,,,protein-cysteine S-acyltransferase activity
3B9NH,9606.ENSP00000266079,,,factor 6
3B9NI,"9606.ENSP00000362931,9606.ENSP00000377262",,7227.FBpp0297551,spliceosomal complex assembly
3B9NM,9606.ENSP00000222122,,,circadian rhythm
3B9NQ,9606.ENSP00000225983,,,"Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events"
3B9NR,9606.ENSP00000341361,,,protein autoubiquitination
3B9NY,9606.ENSP00000365725,,,phosphatidylserine catabolic process
3B9P1,9606.ENSP00000302562,,,Cupin superfamily protein
3B9P2,,,7227.FBpp0072693,intra-Golgi vesicle-mediated transport
3B9P3,9606.ENSP00000323074,,,negative regulation of multicellular organism growth
3B9P4,9606.ENSP00000377681,,,stress granule assembly
3B9P5,9606.ENSP00000348752,,7227.FBpp0113106,ORAI calcium release-activated calcium modulator
3B9PD,9606.ENSP00000367727,,,Pantothenate kinase 4
3B9PI,9606.ENSP00000483134,,,Zinc finger protein 865
3B9PY,,,7227.FBpp0072650,glycerol kinase activity
3B9Q1,,,7227.FBpp0086591,Structural maintenance of chromosomes
3B9Q8,9606.ENSP00000426103,,7227.FBpp0080686,ubiquitin-protein transferase activity
3B9QB,9606.ENSP00000323511,,,DNA 3' dephosphorylation involved in DNA repair
3B9QI,9606.ENSP00000356214,,,Myc target protein 1
3B9QK,9606.ENSP00000358035,,,thrombospondin type-1 domain-containing protein 4
3B9QR,9606.ENSP00000384211,,,Proteasome activator complex subunit
3B9QS,"9606.ENSP00000265970,9606.ENSP00000356155",,,1-phosphatidylinositol-4-phosphate 3-kinase activity
3B9QZ,,,7227.FBpp0288517,homologous chromosome movement towards spindle pole involved in homologous chromosome segregation
3B9R0,9606.ENSP00000299367,,,complement activation
3B9R4,,,7227.FBpp0086664,protein K48-linked deubiquitination
3B9R5,,,7227.FBpp0083686,hydrolase
3B9R6,"9606.ENSP00000269856,9606.ENSP00000274457",,,EP4 subtype prostaglandin E2 receptor binding
3B9R7,,,7227.FBpp0302532,positive regulation of histone acetylation
3B9RA,9606.ENSP00000370713,,,hypoglossal nerve development
3B9RD,,,7227.FBpp0074246,positive regulation of DNA-directed DNA polymerase activity
3B9RF,9606.ENSP00000354583,,,microfibrillar-associated protein
3B9RH,9606.ENSP00000359216,,,regulation of secretory granule organization
3B9RI,9606.ENSP00000275364,,,D5 dopamine receptor binding
3B9RK,9606.ENSP00000340523,,,nicotinamide-nucleotide adenylyltransferase activity
3B9RM,,,"7227.FBpp0078935,7227.FBpp0289333","protein-glycine ligase activity, initiating"
3B9RP,,,7227.FBpp0076418,deoxyhypusine synthase activity
3B9RR,,,7227.FBpp0086640,negative regulation of protein localization to nucleolus
3B9RT,9606.ENSP00000216180,,,diolein transacylation activity
3B9RU,9606.ENSP00000225719,,,metallocarboxypeptidase activity
3B9RV,,,7227.FBpp0290365,regulator of G-protein signaling 20
3B9RW,9606.ENSP00000269397,,,SUMO binding
3B9RX,9606.ENSP00000359581,,,Heparan sulfate 2-o-sulfotransferase
3B9RZ,9606.ENSP00000362924,,7227.FBpp0297295,actin filament severing
3B9S1,9606.ENSP00000281523,,,intrinsic apoptotic signaling pathway by p53 class mediator
3B9S2,9606.ENSP00000356563,,,protein import into peroxisome membrane
3B9S8,,,"7227.FBpp0110195,7227.FBpp0110206,7227.FBpp0271752",extracellularly glutamate-gated ion channel activity
3B9S9,9606.ENSP00000376534,,,DNA binding
3B9SB,9606.ENSP00000353868,,,GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
3B9SE,9606.ENSP00000295119,,,NLS-bearing protein import into nucleus
3B9SG,"9606.ENSP00000261183,9606.ENSP00000263650",,7227.FBpp0297588,phosphatidylinositol-4-phosphate binding
3B9SI,,,7227.FBpp0071816,GDP-L-fucose synthase activity
3B9SN,,,7227.FBpp0077118,metal ion binding
3B9SQ,9606.ENSP00000281282,,,negative regulation of small GTPase mediated signal transduction
3B9SR,,,7227.FBpp0306013,Methylcytosine dioxygenase
3B9SX,9606.ENSP00000365682,,,regulation of nucleic acid-templated transcription
3B9SY,9606.ENSP00000339479,,,5'-nucleotidase activity
3B9SZ,"9606.ENSP00000362151,9606.ENSP00000386200",,,forkhead box
3B9T2,9606.ENSP00000387010,,,nucleic acid binding
3B9T3,,,7227.FBpp0077947,regulation of ARF protein signal transduction
3B9T8,9606.ENSP00000364945,,,dimethylaminohydrolase 2
3B9TB,9606.ENSP00000360777,,,72 kDa inositol polyphosphate
3B9TE,,,7227.FBpp0070667,TeTratriCopeptide repeat
3B9TF,9606.ENSP00000452746,,,inflammatory response
3B9TG,9606.ENSP00000360797,,,CARD domain binding
3B9TQ,9606.ENSP00000298288,,,"Leucine-rich repeats, outliers"
3B9TW,9606.ENSP00000483825,,,"Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma"
3B9TZ,,,7227.FBpp0071400,keratinization
3B9U0,9606.ENSP00000251810,,,ribonucleoside-diphosphate reductase activity
3B9U1,"9606.ENSP00000313601,9606.ENSP00000360642",,,coiled-coil and C2
3B9U2,9606.ENSP00000380666,,,L-alpha-amino acid transmembrane transport
3B9U4,9606.ENSP00000379156,,,negative regulation of myosin-light-chain-phosphatase activity
3B9UA,,,7227.FBpp0076893,actin filament severing
3B9UG,9606.ENSP00000311344,,,meiotic spindle elongation
3B9UH,9606.ENSP00000367965,,,ankyrin repeats
3B9UM,9606.ENSP00000296543,,,N-terminal peptidyl-methionine acetylation
3B9UP,,,7227.FBpp0072849,actin-binding Rho activating protein
3B9UQ,9606.ENSP00000377428,,7227.FBpp0110135,cilium-dependent cell motility
3B9UT,"9606.ENSP00000370022,9606.ENSP00000430241",,,Transcription factor
3B9V0,,,7227.FBpp0070944,neurotransmitter transport
3B9V1,,,7227.FBpp0074214,RNA secondary structure unwinding
3B9V2,9606.ENSP00000273286,,,Leucine-rich repeats and transmembrane domains 1
3B9V5,9606.ENSP00000352995,,,Rho guanine nucleotide exchange factor
3B9V6,,,7227.FBpp0080997,Belongs to the DEAD box helicase family
3B9V8,,,7227.FBpp0303794,Belongs to the short-chain dehydrogenases reductases (SDR) family
3B9VD,9606.ENSP00000343629,,,Proline-rich coiled-coil
3B9VF,,,7227.FBpp0304488,GTPase activator activity
3B9VG,9606.ENSP00000377024,,7227.FBpp0083954,poly(A)-specific ribonuclease activity
3B9VJ,9606.ENSP00000367691,,,Lysophosphatidic acid receptor
3B9VN,9606.ENSP00000337332,,7227.FBpp0293897,NAD-dependent protein deacetylase sirtuin-6
3B9VR,9606.ENSP00000294973,,,"3-hydroxyanthranilate 3,4-dioxygenase activity"
3B9VS,9606.ENSP00000298912,,,"Calmin (calponin-like, transmembrane)"
3B9VU,,,"7227.FBpp0305979,7227.FBpp0305981",Belongs to the histidine acid phosphatase family
3B9VV,"9606.ENSP00000219255,9606.ENSP00000343144",,,establishment or maintenance of cell polarity
3B9VX,9606.ENSP00000266014,,,polysaccharide biosynthetic process
3B9VZ,,,7227.FBpp0300203,methylcrotonoyl-CoA carboxylase activity
3B9W2,,,7227.FBpp0302999,cargo loading into COPII-coated vesicle
3B9W6,9606.ENSP00000320318,,,sialidase 3 (membrane sialidase)
3B9W8,9606.ENSP00000452126,,,family member
3B9WG,9606.ENSP00000308926,,,protein serine/threonine phosphatase activity
3B9WI,"9606.ENSP00000327145,9606.ENSP00000358866",,,"Filamin C, gamma"
3B9WM,,,7227.FBpp0072490,transmembrane transport
3B9WY,9606.ENSP00000438388,,7227.FBpp0086227,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
3B9X0,,,7227.FBpp0297556,RNA splicing
3B9X1,9606.ENSP00000388241,,7227.FBpp0079186,negative regulation of motor neuron migration
3B9X2,9606.ENSP00000219409,,,Rho GDP-dissociation inhibitor activity
3B9X3,9606.ENSP00000261249,,,"Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding"
3B9XC,,,7227.FBpp0071217,RNA acetylation
3B9XD,9606.ENSP00000480514,,,endoplasmic reticulum calcium ion homeostasis
3B9XE,9606.ENSP00000321997,,,La ribonucleoprotein domain family member
3B9XH,,,7227.FBpp0070205,nucleic acid-templated transcription
3B9XJ,,,7227.FBpp0084894,selective autophagy
3B9XP,9606.ENSP00000311135,,,helicase activity
3B9XS,,,7227.FBpp0084543,Max-like protein X
3B9XT,9606.ENSP00000257312,,7227.FBpp0084025,Zinc finger protein
3B9XV,9606.ENSP00000321320,,,Domain of unknown function (DUF384)
3B9XW,"9606.ENSP00000382204,9606.ENSP00000386660",,,demethylase
3B9XZ,9606.ENSP00000349824,,,RALBP1 associated Eps domain containing 2
3B9Y0,9606.ENSP00000303145,,,regulation of post-mating oviposition
3B9Y3,,,7227.FBpp0071694,alkaline phosphatase activity
3B9Y9,9606.ENSP00000363827,,,heparan sulfate proteoglycan
3B9YA,,,7227.FBpp0070582,oligopeptide transmembrane transporter activity
3B9YB,9606.ENSP00000321691,,,
3B9YC,,,7227.FBpp0075479,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
3B9YF,9606.ENSP00000339723,,,"negative regulation of transcription, DNA-templated"
3B9YH,,,7227.FBpp0081078,apoptotic process
